Name,Type,Communicative,Count Norm treshold, Init Area
agent000,conformist,1,3,36
agent001,conformist,1,3,14
agent002,conformist,1,4,12
agent003,conformist,1,8,37
agent004,balanced,1,7,13
agent005,balanced,1,5,24
agent006,balanced,1,5,21
agent007,conformist,1,6,2
agent008,balanced,1,3,40
agent009,conformist,1,3,30
agent00a,conformist,1,5,17
agent00b,opportunist,1,3,30
agent00c,conformist,1,7,31
agent00d,balanced,1,6,10
agent00e,conformist,1,7,32
agent00f,opportunist,1,3,11
agent010,balanced,1,8,37
agent011,balanced,1,7,20
agent012,conformist,1,5,11
agent013,opportunist,1,4,31
agent014,opportunist,1,3,12
agent015,conformist,1,8,16
agent016,conformist,1,8,29
agent017,balanced,1,3,34
agent018,opportunist,1,6,15
agent019,opportunist,1,6,30
agent01a,conformist,1,3,11
agent01b,conformist,1,5,14
agent01c,opportunist,1,7,7
agent01d,opportunist,1,7,32
agent01e,conformist,1,6,17
agent01f,conformist,1,8,40
agent020,opportunist,1,7,39
agent021,balanced,1,6,3
agent022,opportunist,1,8,20
agent023,conformist,1,3,14
agent024,conformist,1,4,21
agent025,opportunist,1,6,34
agent026,opportunist,1,6,37
agent027,opportunist,1,5,4
agent028,conformist,1,7,28
agent029,opportunist,1,6,24
agent02a,balanced,1,4,27
agent02b,opportunist,1,4,4
agent02c,balanced,1,5,37
agent02d,conformist,1,3,27
agent02e,conformist,1,8,7
agent02f,conformist,1,4,15
agent030,conformist,1,4,18
agent031,opportunist,1,3,18
agent032,conformist,1,6,38
agent033,conformist,1,5,7
agent034,conformist,1,6,21
agent035,balanced,1,7,5
agent036,opportunist,1,4,18
agent037,conformist,1,3,2
agent038,balanced,1,6,15
agent039,conformist,1,8,6
agent03a,opportunist,1,5,24
agent03b,balanced,1,3,40
agent03c,conformist,1,4,9
agent03d,conformist,1,8,6
agent03e,opportunist,1,4,7
agent03f,balanced,1,8,8
agent040,conformist,1,3,8
agent041,opportunist,1,4,25
agent042,opportunist,1,6,25
agent043,balanced,1,4,28
agent044,balanced,1,5,30
agent045,conformist,1,7,21
agent046,balanced,1,7,10
agent047,balanced,1,7,2
agent048,conformist,1,5,40
agent049,balanced,1,4,24
agent04a,opportunist,1,5,24
agent04b,balanced,1,3,35
agent04c,conformist,1,7,30
agent04d,opportunist,1,8,22
agent04e,opportunist,1,8,38
agent04f,balanced,1,8,35
agent050,conformist,1,5,6
agent051,conformist,1,8,30
agent052,balanced,1,6,23
agent053,balanced,1,7,18
agent054,opportunist,1,4,25
agent055,balanced,1,3,38
agent056,balanced,1,6,14
agent057,conformist,1,6,10
agent058,balanced,1,4,32
agent059,opportunist,1,4,40
agent05a,opportunist,1,6,28
agent05b,conformist,1,5,36
agent05c,opportunist,1,4,12
agent05d,opportunist,1,3,10
agent05e,opportunist,1,6,13
agent05f,conformist,1,7,2
agent060,balanced,1,5,19
agent061,conformist,1,4,26
agent062,conformist,1,6,27
agent063,conformist,1,4,2
agent064,conformist,1,6,36
agent065,opportunist,1,3,22
agent066,conformist,1,3,22
agent067,opportunist,1,6,17
agent068,opportunist,1,7,35
agent069,conformist,1,5,22
agent06a,balanced,1,3,15
agent06b,opportunist,1,5,10
agent06c,opportunist,1,3,27
agent06d,balanced,1,8,28
agent06e,opportunist,1,8,17
agent06f,balanced,1,5,22
agent070,balanced,1,3,4
agent071,opportunist,1,5,34
agent072,opportunist,1,7,26
agent073,conformist,1,8,40
agent074,balanced,1,8,31
agent075,opportunist,1,7,4
agent076,conformist,1,7,19
agent077,conformist,1,8,26
agent078,balanced,1,5,36
agent079,conformist,1,7,4
agent07a,opportunist,1,7,6
agent07b,opportunist,1,7,27
agent07c,conformist,1,5,32
agent07d,opportunist,1,8,36
agent07e,opportunist,1,6,21
agent07f,balanced,1,4,22
agent080,conformist,1,4,36
agent081,opportunist,1,4,32
agent082,conformist,1,3,28
agent083,conformist,1,8,19
agent084,balanced,1,8,21
agent085,conformist,1,8,23
agent086,conformist,1,4,40
agent087,conformist,1,7,27
agent088,conformist,1,8,13
agent089,balanced,1,6,18
agent08a,conformist,1,5,13
agent08b,opportunist,1,5,31
agent08c,opportunist,1,4,37
agent08d,balanced,1,8,40
agent08e,conformist,1,8,17
agent08f,conformist,1,6,24
agent090,conformist,1,3,17
agent091,balanced,1,5,9
agent092,conformist,1,6,6
agent093,balanced,1,7,21
agent094,balanced,1,4,11
agent095,balanced,1,5,8
agent096,balanced,1,6,28
agent097,opportunist,1,5,19
agent098,conformist,1,4,4
agent099,conformist,1,3,22
agent09a,balanced,1,8,19
agent09b,conformist,1,6,15
agent09c,opportunist,1,4,27
agent09d,balanced,1,6,9
agent09e,balanced,1,3,12
agent09f,opportunist,1,3,1
agent0a0,opportunist,1,6,37
agent0a1,conformist,1,7,22
agent0a2,opportunist,1,7,14
agent0a3,balanced,1,8,34
agent0a4,opportunist,1,8,23
agent0a5,opportunist,1,5,6
agent0a6,conformist,1,4,33
agent0a7,opportunist,1,7,31
agent0a8,balanced,1,5,40
agent0a9,opportunist,1,7,20
