iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, AVG
dec_strat, THRES
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,35,23,35,35.0,self,3
agent001,0,14,23,14,14.0,self,2
agent002,0,20,23,20,20.0,self,3
agent003,0,41,22,41,41.0,self,1
agent004,0,27,22,27,27.0,self,1
agent005,0,21,23,21,21.0,self,2
agent006,0,28,24,28,28.0,self,3
agent007,0,3,23,3,3.0,self,1
agent008,0,33,24,33,33.0,self,2
agent009,0,25,22,25,25.0,self,2
agent00a,0,38,19,38,38.0,self,1
agent00b,0,7,23,7,7.0,self,3
agent00c,0,14,24,14,14.0,self,1
agent00d,0,29,21,29,29.0,self,2
agent00e,0,37,22,37,37.0,self,3
agent00f,0,8,20,8,8.0,self,3
agent010,0,34,23,34,34.0,self,2
agent011,0,20,22,20,20.0,self,1
agent012,0,38,23,38,38.0,self,1
agent013,0,35,21,35,35.0,self,1
agent014,0,39,20,39,39.0,self,1
agent015,0,26,23,26,26.0,self,1
agent016,0,28,23,28,28.0,self,3
agent017,0,26,21,26,26.0,self,1
agent018,0,15,21,15,15.0,self,1
agent019,0,5,24,5,5.0,self,1
agent01a,0,8,21,8,8.0,self,3
agent01b,0,28,20,28,28.0,self,3
agent01c,0,13,24,13,13.0,self,2
agent01d,0,38,23,38,38.0,self,2
agent01e,0,32,23,32,32.0,self,2
agent01f,0,34,22,34,34.0,self,1
agent020,0,25,22,25,25.0,self,3
agent021,0,14,21,14,14.0,self,1
agent022,0,35,20,35,35.0,self,3
agent023,0,24,20,24,24.0,self,1
agent024,0,20,23,20,20.0,self,1
agent025,0,34,23,34,34.0,self,3
agent026,0,39,23,39,39.0,self,2
agent027,0,8,24,8,8.0,self,1
agent028,0,39,24,39,39.0,self,3
agent029,0,37,22,37,37.0,self,3
agent02a,0,22,21,22,22.0,self,2
agent02b,0,11,23,11,11.0,self,2
agent02c,0,21,24,21,21.0,self,3
agent02d,0,31,22,31,31.0,self,1
agent02e,0,39,20,39,39.0,self,1
agent02f,0,7,23,7,7.0,self,1
agent030,0,15,22,15,15.0,self,1
agent031,0,31,21,31,31.0,self,3
agent032,0,38,21,38,38.0,self,2
agent033,0,14,22,14,14.0,self,1
agent034,0,23,21,23,23.0,self,1
agent035,0,33,25,33,33.0,self,1
agent036,0,13,26,13,13.0,self,1
agent037,0,2,22,2,2.0,self,1
agent038,0,4,20,4,4.0,self,1
agent039,0,27,23,27,27.0,self,1
agent03a,0,13,24,13,13.0,self,2
agent03b,0,7,22,7,7.0,self,1
agent03c,0,10,24,10,10.0,self,3
agent03d,0,12,21,12,12.0,self,3
agent03e,0,34,23,34,34.0,self,2
agent03f,0,39,24,39,39.0,self,2
agent040,0,26,22,26,26.0,self,1
agent041,0,41,22,41,41.0,self,1
agent042,0,26,23,26,26.0,self,1
agent043,0,9,23,9,9.0,self,2
agent044,0,28,24,28,28.0,self,1
agent045,0,6,23,6,6.0,self,2
agent046,0,26,23,26,26.0,self,1
agent047,0,34,22,34,34.0,self,3
agent048,0,12,24,12,12.0,self,3
agent049,0,8,23,8,8.0,self,2
agent04a,0,17,23,17,17.0,self,2
agent04b,0,39,24,39,39.0,self,1
agent04c,0,38,22,38,38.0,self,2
agent04d,0,25,22,25,25.0,self,1
agent04e,0,19,25,19,19.0,self,1
agent04f,0,23,23,23,23.0,self,1
agent050,0,23,23,23,23.0,self,1
agent051,0,33,21,33,33.0,self,3
agent052,0,7,24,7,7.0,self,3
agent053,0,18,24,18,18.0,self,3
agent054,0,12,25,12,12.0,self,1
agent055,0,42,24,42,42.0,self,3
agent056,0,30,21,30,30.0,self,2
agent057,0,12,22,12,12.0,self,1
agent058,0,19,23,19,19.0,self,2
agent059,0,12,21,12,12.0,self,2
agent05a,0,11,24,11,11.0,self,2
agent05b,0,25,22,25,25.0,self,3
agent05c,0,42,24,42,42.0,self,2
agent05d,0,39,22,39,39.0,self,3
agent05e,0,38,24,38,38.0,self,2
agent05f,0,40,26,40,40.0,self,1
agent060,0,3,23,3,3.0,self,1
agent061,0,32,24,32,32.0,self,2
agent062,0,21,23,21,21.0,self,1
agent063,0,28,23,28,28.0,self,3
agent064,0,20,23,20,20.0,self,2
agent065,0,43,22,43,43.0,self,3
agent066,0,5,23,5,5.0,self,1
agent067,0,35,23,35,35.0,self,3
agent068,0,33,23,33,33.0,self,2
agent069,0,40,26,40,40.0,self,3
agent06a,0,26,22,26,26.0,self,1
agent06b,0,39,25,39,39.0,self,1
agent06c,0,23,22,23,23.0,self,1
