iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, RND
dec_strat, RAND3
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,67,65,65,65.0,norm,0
agent001,0,66,63,63,63.0,norm,2
agent002,0,67,66,65,65.0,norm,0
agent003,0,65,62,65,65.0,norm eq. self,0
agent004,0,62,62,62,62.0,norm eq. self,0
agent005,0,65,65,64,64.0,norm,0
agent006,0,66,66,62,62.0,norm,2
agent007,0,61,65,61,61.0,norm eq. self,0
agent008,0,65,67,64,64.0,norm,0
agent009,0,66,61,66,66.0,norm eq. self,1
agent00a,0,61,61,62,62.0,norm,1
agent00b,0,67,65,63,63.0,norm,2
agent00c,0,62,65,62,62.0,norm eq. self,0
agent00d,0,65,66,65,65.0,norm eq. self,1
agent00e,0,66,63,64,64.0,norm,0
agent00f,0,66,63,64,64.0,norm,0
agent010,0,65,66,63,63.0,norm,1
agent011,0,63,66,62,62.0,norm,1
agent012,0,64,66,64,64.0,norm eq. self,0
agent013,0,61,67,61,61.0,norm eq. self,0
agent014,0,62,67,60,60.0,norm,2
agent015,0,61,65,61,61.0,norm eq. self,0
agent016,0,67,66,65,65.0,norm,0
agent017,0,61,62,61,61.0,norm eq. self,0
agent018,0,60,63,63,63.0,norm,3
agent019,0,64,66,63,63.0,norm,1
agent01a,0,65,61,62,62.0,norm,1
agent01b,0,66,62,66,66.0,norm eq. self,2
agent01c,0,66,62,64,64.0,norm,1
agent01d,0,65,62,66,66.0,norm,2
agent01e,0,65,65,66,66.0,norm,2
agent01f,0,62,66,62,62.0,norm eq. self,0
agent020,0,66,62,63,63.0,norm,1
agent021,0,60,63,62,62.0,norm,2
agent022,0,66,62,62,62.0,norm,2
agent023,0,61,62,61,61.0,norm eq. self,0
agent024,0,63,66,63,63.0,norm eq. self,0
agent025,0,67,62,62,62.0,norm,3
agent026,0,65,62,65,65.0,norm eq. self,1
agent027,0,63,62,61,61.0,norm,2
agent028,0,65,62,65,65.0,norm eq. self,1
agent029,0,67,64,69,69.0,norm,4
agent02a,0,65,65,63,63.0,norm,1
agent02b,0,66,66,65,65.0,norm,0
agent02c,0,65,66,66,66.0,norm,3
agent02d,0,61,62,67,67.0,norm,6
agent02e,0,62,65,63,63.0,norm,1
agent02f,0,61,66,61,61.0,norm eq. self,0
agent030,0,62,66,63,63.0,norm,1
agent031,0,66,64,63,63.0,norm,1
agent032,0,66,66,63,63.0,norm,2
agent033,0,61,65,61,61.0,norm eq. self,0
agent034,0,62,66,62,62.0,norm eq. self,0
agent035,0,61,66,62,62.0,norm,1
agent036,0,63,66,63,63.0,norm eq. self,0
agent037,0,60,67,60,60.0,norm eq. self,0
agent038,0,61,61,61,61.0,norm eq. self,0
agent039,0,62,66,60,60.0,norm,2
agent03a,0,65,61,67,67.0,norm,3
agent03b,0,62,65,62,62.0,norm eq. self,0
agent03c,0,67,67,65,65.0,norm,0
agent03d,0,66,62,64,64.0,norm,0
agent03e,0,66,65,65,65.0,norm,0
agent03f,0,63,62,63,63.0,norm eq. self,1
agent040,0,61,66,64,64.0,norm,3
agent041,0,62,65,62,62.0,norm eq. self,0
agent042,0,62,66,62,62.0,norm eq. self,0
agent043,0,66,63,64,64.0,norm,1
agent044,0,61,61,61,61.0,norm eq. self,0
agent045,0,66,62,64,64.0,norm,1
agent046,0,64,67,63,63.0,norm,1
agent047,0,66,66,63,63.0,norm,1
agent048,0,66,67,66,66.0,norm eq. self,2
agent049,0,64,62,62,62.0,norm,1
agent04a,0,65,66,63,63.0,norm,1
agent04b,0,66,62,63,63.0,norm,2
agent04c,0,66,66,66,66.0,norm eq. self,1
agent04d,0,63,61,64,64.0,norm,1
agent04e,0,62,65,62,62.0,norm eq. self,0
agent04f,0,61,67,58,58.0,norm,3
agent050,0,62,61,63,63.0,norm,1
agent051,0,66,61,64,64.0,norm,0
agent052,0,67,61,64,64.0,norm,1
agent053,0,66,62,64,64.0,norm,0
agent054,0,62,62,62,62.0,norm eq. self,0
agent055,0,65,61,65,65.0,norm eq. self,1
agent056,0,63,67,63,63.0,norm eq. self,1
agent057,0,61,61,64,64.0,norm,3
agent058,0,65,63,66,66.0,norm,2
agent059,0,66,65,66,66.0,norm eq. self,1
agent05a,0,65,62,63,63.0,norm,1
agent05b,0,66,66,64,64.0,norm,0
agent05c,0,65,63,62,62.0,norm,2
agent05d,0,66,63,64,64.0,norm,1
agent05e,0,65,62,65,65.0,norm eq. self,1
agent05f,0,63,65,64,64.0,norm,1
agent060,0,63,62,63,63.0,norm eq. self,0
agent061,0,65,65,62,62.0,norm,2
agent062,0,62,65,63,63.0,norm,1
agent063,0,66,66,64,64.0,norm,0
agent064,0,63,65,61,61.0,norm,1
agent065,0,64,65,62,62.0,norm,1
agent066,0,61,65,60,60.0,norm,1
agent067,0,66,61,65,65.0,norm,1
agent068,0,65,66,61,61.0,norm,3
agent069,0,65,67,63,63.0,norm,1
agent06a,0,61,61,61,61.0,norm eq. self,0
agent06b,0,61,62,61,61.0,norm eq. self,0
agent06c,0,61,62,62,62.0,norm,1
agent06d,0,62,62,63,63.0,norm,1
agent06e,0,61,63,62,62.0,norm,1
agent06f,0,66,64,65,65.0,norm,0
agent070,0,62,65,61,61.0,norm,1
agent071,0,61,66,62,62.0,norm,1
agent072,0,66,61,64,64.0,norm,1
agent073,0,62,65,63,63.0,norm,1
agent074,0,62,65,62,62.0,norm eq. self,0
agent075,0,66,62,65,65.0,norm,1
agent076,0,61,65,62,62.0,norm,1
agent077,0,66,62,64,64.0,norm,1
agent078,0,63,66,61,61.0,norm,2
agent079,0,63,64,66,66.0,norm,4
agent07a,0,62,66,62,62.0,norm eq. self,0
agent07b,0,67,65,65,65.0,norm,0
agent07c,0,62,62,65,65.0,norm,3
agent07d,0,65,62,66,66.0,norm,2
agent07e,0,65,62,65,65.0,norm eq. self,1
agent07f,0,66,67,64,64.0,norm,0
agent080,0,67,64,65,65.0,norm,0
agent081,0,62,67,65,65.0,norm,3
agent082,0,64,65,64,64.0,norm eq. self,1
agent083,0,62,65,62,62.0,norm eq. self,0
agent084,0,67,60,63,63.0,norm,2
agent085,0,62,66,62,62.0,norm eq. self,0
agent086,0,66,63,62,62.0,norm,2
agent087,0,66,61,66,66.0,norm eq. self,2
agent088,0,62,67,65,65.0,norm,3
agent089,0,61,67,61,61.0,norm eq. self,0
agent08a,0,65,65,65,65.0,norm eq. self,1
agent08b,0,62,63,63,63.0,norm,1
agent08c,0,66,67,66,66.0,norm eq. self,2
agent08d,0,66,62,64,64.0,norm,1
agent08e,0,61,61,61,61.0,norm eq. self,0
agent08f,0,66,64,63,63.0,norm,2
agent090,0,67,67,65,65.0,norm,0
agent091,0,67,65,65,65.0,norm,0
agent092,0,66,62,65,65.0,norm,1
agent093,0,62,65,62,62.0,norm eq. self,0
agent094,0,62,66,63,63.0,norm,1
agent095,0,66,60,66,66.0,norm eq. self,1
agent096,0,66,65,63,63.0,norm,1
agent097,0,63,66,63,63.0,norm eq. self,0
agent098,0,65,61,61,61.0,norm,3
agent099,0,66,67,63,63.0,norm,2
agent09a,0,66,61,63,63.0,norm,2
agent09b,0,65,65,64,64.0,norm,0
agent09c,0,66,66,62,62.0,norm,2
agent09d,0,66,66,64,64.0,norm,0
agent09e,0,62,67,62,62.0,norm eq. self,0
agent09f,0,61,61,61,61.0,norm eq. self,0
agent0a0,0,62,65,62,62.0,norm eq. self,0
agent0a1,0,66,67,66,66.0,norm eq. self,2
agent0a2,0,65,62,66,66.0,norm,2
agent0a3,0,60,65,59,59.0,norm,1
agent0a4,0,62,66,61,61.0,norm,1
agent0a5,0,65,65,64,64.0,norm,0
