iteration, 300
pop_size, 200
LNK_strat, MCOM
L2agg_strat, AVG
dec_strat, RAND3
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,67,64,66,66.0,norm,1
agent001,0,66,64,64,64.0,norm,1
agent002,0,67,64,65,65.0,norm,0
agent003,0,61,64,61,61.0,norm eq. self,0
agent004,0,63,64,63,63.0,norm eq. self,0
agent005,0,66,64,64,64.0,norm,1
agent006,0,66,64,62,62.0,norm,2
agent007,0,61,64,64,64.0,norm,3
agent008,0,66,64,64,64.0,norm,1
agent009,0,66,64,67,67.0,norm,2
agent00a,0,61,64,61,61.0,norm eq. self,0
agent00b,0,67,64,67,67.0,norm eq. self,2
agent00c,0,63,64,62,62.0,norm,1
agent00d,0,66,64,62,62.0,norm,3
agent00e,0,66,64,65,65.0,norm,1
agent00f,0,67,64,63,63.0,norm,2
agent010,0,66,64,64,64.0,norm,1
agent011,0,62,64,62,62.0,norm eq. self,0
agent012,0,62,64,62,62.0,norm eq. self,0
agent013,0,62,64,62,62.0,norm eq. self,0
agent014,0,61,64,61,61.0,norm eq. self,0
agent015,0,61,64,62,62.0,norm,1
agent016,0,67,64,63,63.0,norm,2
agent017,0,61,64,61,61.0,norm eq. self,0
agent018,0,61,64,61,61.0,norm eq. self,0
agent019,0,63,64,62,62.0,norm,1
agent01a,0,66,64,65,65.0,norm,1
agent01b,0,67,64,63,63.0,norm,2
agent01c,0,67,64,65,65.0,norm,1
agent01d,0,66,64,65,65.0,norm,0
agent01e,0,66,64,65,65.0,norm,0
agent01f,0,61,64,64,64.0,norm,3
agent020,0,67,64,63,63.0,norm,2
agent021,0,62,64,62,62.0,norm eq. self,0
agent022,0,67,64,64,64.0,norm,1
agent023,0,63,64,62,62.0,norm,1
agent024,0,62,64,63,63.0,norm,1
agent025,0,67,64,67,67.0,norm eq. self,2
agent026,0,66,64,64,64.0,norm,1
agent027,0,63,64,64,64.0,norm,1
agent028,0,66,64,63,63.0,norm,2
agent029,0,67,64,66,66.0,norm,1
agent02a,0,66,64,64,64.0,norm,1
agent02b,0,66,64,66,66.0,norm eq. self,1
agent02c,0,67,64,65,65.0,norm,0
agent02d,0,62,64,62,62.0,norm eq. self,0
agent02e,0,61,64,61,61.0,norm eq. self,0
agent02f,0,61,64,61,61.0,norm eq. self,0
agent030,0,62,64,63,63.0,norm,1
agent031,0,67,64,64,64.0,norm,1
agent032,0,66,64,62,62.0,norm,3
agent033,0,61,64,61,61.0,norm eq. self,0
agent034,0,63,64,64,64.0,norm,1
agent035,0,61,64,62,62.0,norm,1
agent036,0,62,64,61,61.0,norm,1
agent037,0,61,64,60,60.0,norm,1
agent038,0,62,64,62,62.0,norm eq. self,0
agent039,0,61,64,62,62.0,norm,1
agent03a,0,65,64,65,65.0,norm eq. self,1
agent03b,0,63,64,63,63.0,norm eq. self,0
agent03c,0,67,64,65,65.0,norm,0
agent03d,0,67,64,63,63.0,norm,2
agent03e,0,66,64,66,66.0,norm eq. self,1
agent03f,0,66,64,65,65.0,norm,0
agent040,0,61,64,60,60.0,norm,1
agent041,0,61,64,61,61.0,norm eq. self,0
agent042,0,61,64,62,62.0,norm,1
agent043,0,66,64,66,66.0,norm eq. self,1
agent044,0,61,64,61,61.0,norm eq. self,0
agent045,0,66,64,62,62.0,norm,3
agent046,0,63,64,63,63.0,norm eq. self,0
agent047,0,67,64,65,65.0,norm,0
agent048,0,67,64,64,64.0,norm,1
agent049,0,65,64,66,66.0,norm,2
agent04a,0,65,64,63,63.0,norm,1
agent04b,0,62,64,63,63.0,norm,1
agent04c,0,66,64,66,66.0,norm eq. self,1
agent04d,0,62,64,61,61.0,norm,1
agent04e,0,64,64,62,62.0,norm,2
agent04f,0,61,64,61,61.0,norm eq. self,0
agent050,0,63,64,63,63.0,norm eq. self,0
agent051,0,66,64,67,67.0,norm,3
agent052,0,67,64,63,63.0,norm,2
agent053,0,67,64,64,64.0,norm,1
agent054,0,64,64,64,64.0,norm eq. self,0
agent055,0,66,64,63,63.0,norm,2
agent056,0,66,64,66,66.0,norm eq. self,1
agent057,0,62,64,62,62.0,norm eq. self,0
agent058,0,65,64,65,65.0,norm eq. self,1
agent059,0,67,64,67,67.0,norm eq. self,1
agent05a,0,65,64,65,65.0,norm eq. self,1
agent05b,0,66,64,63,63.0,norm,1
agent05c,0,66,64,63,63.0,norm,2
agent05d,0,66,64,66,66.0,norm eq. self,1
agent05e,0,66,64,67,67.0,norm,2
agent05f,0,62,64,62,62.0,norm eq. self,0
agent060,0,65,64,65,65.0,norm eq. self,0
agent061,0,66,64,66,66.0,norm eq. self,1
agent062,0,61,64,61,61.0,norm eq. self,0
agent063,0,67,64,65,65.0,norm,0
agent064,0,66,64,63,63.0,norm,2
agent065,0,65,64,64,64.0,norm,0
agent066,0,62,64,64,64.0,norm,2
agent067,0,67,64,63,63.0,norm,2
agent068,0,66,64,66,66.0,norm eq. self,1
agent069,0,66,64,66,66.0,norm eq. self,1
agent06a,0,61,64,65,65.0,norm,4
agent06b,0,62,64,62,62.0,norm eq. self,0
agent06c,0,61,64,62,62.0,norm,1
agent06d,0,61,64,62,62.0,norm,1
agent06e,0,62,64,62,62.0,norm eq. self,0
agent06f,0,66,64,63,63.0,norm,2
agent070,0,62,64,62,62.0,norm eq. self,0
agent071,0,62,64,62,62.0,norm eq. self,0
agent072,0,64,64,65,65.0,norm,2
agent073,0,61,64,61,61.0,norm eq. self,0
agent074,0,64,64,63,63.0,norm,1
agent075,0,67,64,65,65.0,norm,0
agent076,0,62,64,62,62.0,norm eq. self,0
agent077,0,66,64,63,63.0,norm,2
agent078,0,64,64,64,64.0,norm eq. self,0
agent079,0,66,64,67,67.0,norm,2
agent07a,0,65,64,65,65.0,norm eq. self,0
agent07b,0,67,64,66,66.0,norm,1
agent07c,0,62,64,61,61.0,norm,1
agent07d,0,65,64,66,66.0,norm,2
agent07e,0,66,64,66,66.0,norm eq. self,1
agent07f,0,67,64,67,67.0,norm eq. self,2
agent080,0,67,64,63,63.0,norm,2
agent081,0,61,64,62,62.0,norm,1
agent082,0,65,64,64,64.0,norm,0
agent083,0,63,64,63,63.0,norm eq. self,0
agent084,0,67,64,66,66.0,norm,1
agent085,0,62,64,62,62.0,norm eq. self,0
agent086,0,67,64,65,65.0,norm,0
agent087,0,67,64,67,67.0,norm eq. self,2
