iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, AVG
dec_strat, MAJ3
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,55,54,54,54.0,norm,0
agent001,0,58,52,56,56.0,norm,0
agent002,0,55,53,53,53.0,norm,0
agent003,0,53,54,54,54.0,norm,1
agent004,0,56,53,55,55.0,norm,0
agent005,0,62,53,56,56.0,norm,4
agent006,0,56,53,55,55.0,norm,0
agent007,0,61,54,58,58.0,norm,2
agent008,0,58,55,57,57.0,norm,0
agent009,0,55,53,54,54.0,norm,0
agent00a,0,47,54,54,54.0,norm,7
agent00b,0,60,54,57,57.0,norm,0
agent00c,0,55,54,56,56.0,norm,2
agent00d,0,50,53,53,53.0,norm,4
agent00e,0,56,54,55,55.0,norm,0
agent00f,0,49,54,54,54.0,norm,7
agent010,0,55,52,56,56.0,norm,2
agent011,0,56,54,57,57.0,norm,2
agent012,0,53,54,54,54.0,norm,1
agent013,0,49,53,52,52.0,norm,3
agent014,0,49,54,54,54.0,norm,5
agent015,0,50,53,53,53.0,norm,4
agent016,0,54,53,53,53.0,norm,0
agent017,0,41,55,55,55.0,norm,15
agent018,0,49,55,56,56.0,norm,8
agent019,0,57,54,56,56.0,norm,0
agent01a,0,48,54,53,53.0,norm,7
agent01b,0,50,55,55,55.0,norm,6
agent01c,0,59,53,57,57.0,norm,0
agent01d,0,52,54,54,54.0,norm,3
agent01e,0,52,54,53,53.0,norm,2
agent01f,0,51,54,54,54.0,norm,4
agent020,0,59,55,56,56.0,norm,1
agent021,0,49,54,56,56.0,norm,8
agent022,0,42,55,55,55.0,norm,15
agent023,0,51,53,52,52.0,norm,2
agent024,0,55,53,56,56.0,norm,2
agent025,0,58,54,56,56.0,norm,1
agent026,0,54,53,53,53.0,norm,0
agent027,0,60,54,56,56.0,norm,3
agent028,0,58,53,56,56.0,norm,1
agent029,0,55,53,54,54.0,norm,0
agent02a,0,48,54,53,53.0,norm,6
agent02b,0,57,53,55,55.0,norm,0
agent02c,0,55,53,53,53.0,norm,0
agent02d,0,50,53,53,53.0,norm,4
agent02e,0,49,53,51,51.0,norm,2
agent02f,0,58,54,56,56.0,norm,1
agent030,0,51,54,53,53.0,norm,3
agent031,0,51,54,53,53.0,norm,3
agent032,0,51,54,52,52.0,norm,2
agent033,0,20,52,52,52.0,norm,33
agent034,0,60,54,57,57.0,norm,2
agent035,0,58,54,57,57.0,norm,0
agent036,0,57,54,55,55.0,norm,1
agent037,0,60,54,61,61.0,norm,2
agent038,0,48,53,53,53.0,norm,6
agent039,0,58,53,56,56.0,norm,1
agent03a,0,59,53,57,57.0,norm,0
agent03b,0,50,54,53,53.0,norm,4
agent03c,0,62,54,55,55.0,norm,4
agent03d,0,50,53,53,53.0,norm,5
agent03e,0,58,55,55,55.0,norm,2
agent03f,0,54,53,53,53.0,norm,0
agent040,0,57,53,55,55.0,norm,1
agent041,0,28,52,52,52.0,norm,24
agent042,0,58,53,57,57.0,norm,0
agent043,0,57,54,55,55.0,norm,0
agent044,0,57,53,56,56.0,norm,0
agent045,0,57,54,59,59.0,norm,4
agent046,0,57,53,56,56.0,norm,0
agent047,0,58,54,56,56.0,norm,1
agent048,0,57,53,55,55.0,norm,0
agent049,0,55,53,53,53.0,norm,0
agent04a,0,59,54,56,56.0,norm,1
agent04b,0,54,55,54,54.0,norm eq. self,0
agent04c,0,56,54,55,55.0,norm,0
agent04d,0,57,53,56,56.0,norm,0
agent04e,0,56,54,57,57.0,norm,2
agent04f,0,52,54,53,53.0,norm,2
agent050,0,47,52,51,51.0,norm,5
agent051,0,50,54,54,54.0,norm,5
agent052,0,61,55,58,58.0,norm,0
agent053,0,61,54,57,57.0,norm,2
agent054,0,56,54,55,55.0,norm,0
agent055,0,54,53,53,53.0,norm,0
agent056,0,51,54,53,53.0,norm,3
agent057,0,57,53,58,58.0,norm,2
agent058,0,62,53,57,57.0,norm,3
agent059,0,61,54,59,59.0,norm,0
agent05a,0,60,53,58,58.0,norm,0
agent05b,0,51,53,53,53.0,norm,3
agent05c,0,58,53,56,56.0,norm,1
agent05d,0,56,54,55,55.0,norm,0
agent05e,0,55,54,54,54.0,norm,0
agent05f,0,55,53,55,55.0,norm eq. self,0
agent060,0,58,53,56,56.0,norm,1
agent061,0,56,55,55,55.0,norm,0
agent062,0,60,54,56,56.0,norm,3
agent063,0,63,53,61,61.0,norm,0
agent064,0,61,54,58,58.0,norm,1
agent065,0,51,54,56,56.0,norm,6
agent066,0,56,52,55,55.0,norm,0
agent067,0,59,53,58,58.0,norm,0
agent068,0,61,53,57,57.0,norm,3
agent069,0,56,54,55,55.0,norm,0
agent06a,0,51,54,54,54.0,norm,4
agent06b,0,51,53,51,51.0,norm eq. self,0
agent06c,0,56,55,55,55.0,norm,0
agent06d,0,56,54,57,57.0,norm,2
agent06e,0,57,54,58,58.0,norm,2
agent06f,0,57,53,55,55.0,norm,0
agent070,0,61,55,58,58.0,norm,2
agent071,0,56,54,57,57.0,norm,2
agent072,0,60,53,58,58.0,norm,1
agent073,0,61,53,57,57.0,norm,3
agent074,0,57,54,56,56.0,norm,0
agent075,0,61,54,56,56.0,norm,4
agent076,0,56,54,55,55.0,norm,0
agent077,0,54,53,53,53.0,norm,0
agent078,0,58,54,56,56.0,norm,1
agent079,0,58,54,57,57.0,norm,0
agent07a,0,56,55,55,55.0,norm,0
agent07b,0,57,53,55,55.0,norm,0
agent07c,0,56,54,55,55.0,norm,0
agent07d,0,39,54,54,54.0,norm,16
agent07e,0,58,53,56,56.0,norm,0
agent07f,0,61,52,59,59.0,norm,0
agent080,0,61,54,58,58.0,norm,1
agent081,0,51,56,56,56.0,norm,5
agent082,0,50,56,56,56.0,norm,7
agent083,0,56,53,57,57.0,norm,2
agent084,0,59,54,56,56.0,norm,0
agent085,0,60,54,58,58.0,norm,1
agent086,0,51,54,54,54.0,norm,5
agent087,0,56,53,54,54.0,norm,1
agent088,0,56,53,55,55.0,norm,0
agent089,0,41,53,53,53.0,norm,12
agent08a,0,61,55,59,59.0,norm,0
agent08b,0,52,54,54,54.0,norm,3
agent08c,0,51,54,54,54.0,norm,4
agent08d,0,50,55,55,55.0,norm,6
agent08e,0,50,53,52,52.0,norm,3
agent08f,0,57,52,58,58.0,norm,2
agent090,0,62,55,56,56.0,norm,3
agent091,0,57,54,55,55.0,norm,0
agent092,0,50,52,51,51.0,norm,2
agent093,0,41,54,56,56.0,norm,16
agent094,0,56,54,55,55.0,norm,0
agent095,0,59,52,57,57.0,norm,0
agent096,0,52,54,54,54.0,norm,3
agent097,0,56,55,55,55.0,norm,0
agent098,0,61,54,57,57.0,norm,2
agent099,0,54,53,53,53.0,norm,0
agent09a,0,55,52,53,53.0,norm,0
