iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, AVG
dec_strat, QUART
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,69,67,66,66.0,norm,1
agent001,0,67,62,66,66.0,norm,0
agent002,0,67,65,66,66.0,norm,0
agent003,0,66,64,66,66.0,norm eq. self,0
agent004,0,64,64,64,64.0,norm eq. self,0
agent005,0,67,67,66,66.0,norm,0
agent006,0,68,65,65,65.0,norm,2
agent007,0,62,62,62,62.0,norm eq. self,0
agent008,0,67,64,65,65.0,norm,1
agent009,0,67,66,66,66.0,norm,0
agent00a,0,65,66,65,65.0,norm eq. self,0
agent00b,0,69,66,66,66.0,norm,1
agent00c,0,64,66,64,64.0,norm eq. self,0
agent00d,0,68,66,66,66.0,norm,1
agent00e,0,67,65,66,66.0,norm,0
agent00f,0,67,62,65,65.0,norm,1
agent010,0,67,65,66,66.0,norm,0
agent011,0,64,67,64,64.0,norm eq. self,0
agent012,0,64,67,64,64.0,norm eq. self,0
agent013,0,64,66,64,64.0,norm eq. self,0
agent014,0,64,65,64,64.0,norm eq. self,0
agent015,0,64,67,64,64.0,norm eq. self,0
agent016,0,67,62,66,66.0,norm,0
agent017,0,64,66,64,64.0,norm eq. self,0
agent018,0,64,66,64,64.0,norm eq. self,0
agent019,0,66,62,66,66.0,norm eq. self,0
agent01a,0,65,62,64,64.0,norm,0
agent01b,0,68,64,65,65.0,norm,2
agent01c,0,68,62,67,67.0,norm,0
agent01d,0,67,67,65,65.0,norm,1
agent01e,0,66,64,65,65.0,norm,0
agent01f,0,62,65,62,62.0,norm eq. self,0
agent020,0,67,64,66,66.0,norm,0
agent021,0,62,62,62,62.0,norm eq. self,0
agent022,0,67,66,66,66.0,norm,0
agent023,0,65,62,65,65.0,norm eq. self,0
agent024,0,62,62,62,62.0,norm eq. self,0
agent025,0,67,65,66,66.0,norm,0
agent026,0,65,66,64,64.0,norm,0
agent027,0,64,62,64,64.0,norm eq. self,0
agent028,0,67,66,66,66.0,norm,0
agent029,0,67,64,66,66.0,norm,0
agent02a,0,67,67,65,65.0,norm,1
agent02b,0,68,64,66,66.0,norm,1
agent02c,0,68,65,66,66.0,norm,0
agent02d,0,62,66,62,62.0,norm eq. self,0
agent02e,0,64,64,64,64.0,norm eq. self,0
agent02f,0,62,62,62,62.0,norm eq. self,0
agent030,0,67,65,66,66.0,norm,1
agent031,0,67,67,66,66.0,norm,0
agent032,0,66,62,65,65.0,norm,0
agent033,0,64,66,64,64.0,norm eq. self,0
agent034,0,64,66,64,64.0,norm eq. self,0
agent035,0,62,67,62,62.0,norm eq. self,0
agent036,0,64,62,64,64.0,norm eq. self,0
agent037,0,62,65,62,62.0,norm eq. self,0
agent038,0,62,66,62,62.0,norm eq. self,0
agent039,0,64,64,64,64.0,norm eq. self,0
agent03a,0,67,64,66,66.0,norm,0
agent03b,0,64,65,64,64.0,norm eq. self,0
agent03c,0,67,66,66,66.0,norm,0
agent03d,0,66,62,65,65.0,norm,0
agent03e,0,68,62,66,66.0,norm,1
agent03f,0,65,64,64,64.0,norm,0
agent040,0,62,66,62,62.0,norm eq. self,0
agent041,0,66,67,66,66.0,norm eq. self,0
agent042,0,64,66,64,64.0,norm eq. self,0
agent043,0,68,64,66,66.0,norm,1
agent044,0,64,67,64,64.0,norm eq. self,0
agent045,0,67,64,66,66.0,norm,0
agent046,0,64,65,64,64.0,norm eq. self,0
agent047,0,67,66,66,66.0,norm,0
agent048,0,67,67,66,66.0,norm,0
agent049,0,65,65,64,64.0,norm,0
agent04a,0,67,64,65,65.0,norm,1
agent04b,0,66,64,66,66.0,norm eq. self,0
agent04c,0,67,62,66,66.0,norm,0
agent04d,0,64,64,64,64.0,norm eq. self,0
agent04e,0,64,65,64,64.0,norm eq. self,0
agent04f,0,62,65,62,62.0,norm eq. self,0
agent050,0,62,64,62,62.0,norm eq. self,0
agent051,0,65,66,65,65.0,norm eq. self,1
agent052,0,68,64,66,66.0,norm,1
