iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, MAJ3
popname, pop1.csv
netname, net1.csv
COMMF, 1.0

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,79,83,68,68.0,norm,10
agent001,0,84,85,67,67.0,norm,16
agent002,0,79,73,68,68.0,norm,10
agent003,0,65,113,64,64.0,norm,1
agent004,0,67,81,67,67.0,norm eq. self,0
agent005,0,85,87,67,67.0,norm,17
agent006,0,81,67,68,68.0,norm,12
agent007,0,64,62,64,64.0,norm eq. self,0
agent008,0,82,65,68,68.0,norm,12
agent009,0,77,92,68,68.0,norm,8
agent00a,0,62,79,62,62.0,norm eq. self,0
agent00b,0,77,85,68,68.0,norm,8
agent00c,0,64,92,64,64.0,norm eq. self,0
agent00d,0,82,64,68,68.0,norm,13
agent00e,0,113,75,68,68.0,norm,42
agent00f,0,95,64,67,67.0,norm,25
agent010,0,85,79,67,67.0,norm,17
agent011,0,67,77,67,67.0,norm eq. self,0
agent012,0,64,107,64,64.0,norm eq. self,0
agent013,0,62,64,62,62.0,norm eq. self,0
agent014,0,63,77,64,64.0,norm,1
agent015,0,66,87,67,67.0,norm,1
agent016,0,84,67,68,68.0,norm,15
agent017,0,66,65,66,66.0,norm eq. self,0
agent018,0,64,77,64,64.0,norm eq. self,0
agent019,0,64,67,64,64.0,norm eq. self,0
agent01a,0,116,83,67,67.0,norm,46
agent01b,0,81,75,68,68.0,norm,12
agent01c,0,82,78,68,68.0,norm,13
agent01d,0,82,65,67,67.0,norm,14
agent01e,0,79,64,68,68.0,norm,10
agent01f,0,64,86,64,64.0,norm eq. self,0
agent020,0,77,67,68,68.0,norm,8
agent021,0,62,64,62,62.0,norm eq. self,0
agent022,0,113,64,67,67.0,norm,43
agent023,0,68,68,67,67.0,norm,1
agent024,0,64,82,64,64.0,norm eq. self,0
agent025,0,79,64,67,67.0,norm,11
agent026,0,79,64,68,68.0,norm,10
agent027,0,64,64,64,64.0,norm eq. self,0
agent028,0,85,64,67,67.0,norm,17
agent029,0,82,82,68,68.0,norm,13
agent02a,0,82,64,68,68.0,norm,13
agent02b,0,85,79,68,68.0,norm,16
agent02c,0,89,87,68,68.0,norm,18
agent02d,0,65,82,64,64.0,norm,1
