iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, MCOM
dec_strat, THRES
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,62,61,62,62.0,norm eq. self,1
agent001,0,63,61,63,63.0,norm eq. self,1
agent002,0,64,61,64,64.0,norm eq. self,2
agent003,0,62,61,62,62.0,norm eq. self,0
agent004,0,60,61,60,60.0,norm eq. self,0
agent005,0,62,61,62,62.0,norm eq. self,1
agent006,0,63,61,63,63.0,norm eq. self,2
agent007,0,63,61,63,63.0,norm eq. self,0
agent008,0,62,61,62,62.0,norm eq. self,1
agent009,0,63,61,63,63.0,norm eq. self,1
agent00a,0,60,61,60,60.0,norm eq. self,0
agent00b,0,64,61,64,64.0,norm eq. self,2
agent00c,0,61,61,61,61.0,norm eq. self,0
agent00d,0,63,61,63,63.0,norm eq. self,1
agent00e,0,63,61,63,63.0,norm eq. self,1
agent00f,0,64,61,64,64.0,norm eq. self,2
agent010,0,62,61,62,62.0,norm eq. self,1
agent011,0,60,61,60,60.0,norm eq. self,0
agent012,0,62,61,62,62.0,norm eq. self,0
agent013,0,60,61,60,60.0,norm eq. self,0
agent014,0,56,61,56,56.0,norm eq. self,0
agent015,0,61,61,61,61.0,norm eq. self,0
agent016,0,63,61,63,63.0,norm eq. self,2
agent017,0,58,61,58,58.0,norm eq. self,0
agent018,0,57,61,57,57.0,norm eq. self,0
agent019,0,56,61,56,56.0,norm eq. self,0
agent01a,0,62,61,62,62.0,norm eq. self,2
agent01b,0,64,61,64,64.0,norm eq. self,2
agent01c,0,62,61,62,62.0,norm eq. self,1
agent01d,0,63,61,63,63.0,norm eq. self,1
agent01e,0,63,61,63,63.0,norm eq. self,1
agent01f,0,61,61,61,61.0,norm eq. self,0
agent020,0,63,61,63,63.0,norm eq. self,2
agent021,0,60,61,60,60.0,norm eq. self,0
agent022,0,66,61,65,65.0,norm,1
agent023,0,62,61,62,62.0,norm eq. self,0
agent024,0,63,61,63,63.0,norm eq. self,0
agent025,0,60,61,60,60.0,norm eq. self,1
agent026,0,63,61,63,63.0,norm eq. self,1
agent027,0,60,61,60,60.0,norm eq. self,0
agent028,0,62,61,62,62.0,norm eq. self,1
agent029,0,64,61,64,64.0,norm eq. self,1
agent02a,0,62,61,62,62.0,norm eq. self,1
agent02b,0,63,61,63,63.0,norm eq. self,1
agent02c,0,64,61,64,64.0,norm eq. self,2
agent02d,0,60,61,60,60.0,norm eq. self,0
agent02e,0,62,61,62,62.0,norm eq. self,0
agent02f,0,59,61,59,59.0,norm eq. self,0
agent030,0,62,61,62,62.0,norm eq. self,0
agent031,0,65,61,64,64.0,norm,1
agent032,0,61,61,61,61.0,norm eq. self,1
agent033,0,60,61,60,60.0,norm eq. self,0
agent034,0,60,61,60,60.0,norm eq. self,0
agent035,0,59,61,59,59.0,norm eq. self,0
agent036,0,62,61,62,62.0,norm eq. self,0
agent037,0,60,61,60,60.0,norm eq. self,0
agent038,0,60,61,60,60.0,norm eq. self,0
agent039,0,61,61,61,61.0,norm eq. self,0
agent03a,0,61,61,61,61.0,norm eq. self,1
agent03b,0,61,61,61,61.0,norm eq. self,0
agent03c,0,64,61,64,64.0,norm eq. self,2
agent03d,0,63,61,63,63.0,norm eq. self,2
agent03e,0,60,61,60,60.0,norm eq. self,1
agent03f,0,61,61,61,61.0,norm eq. self,1
agent040,0,63,61,63,63.0,norm eq. self,0
agent041,0,61,61,61,61.0,norm eq. self,0
agent042,0,60,61,60,60.0,norm eq. self,0
agent043,0,63,61,63,63.0,norm eq. self,1
agent044,0,62,61,62,62.0,norm eq. self,0
agent045,0,63,61,63,63.0,norm eq. self,1
agent046,0,62,61,62,62.0,norm eq. self,0
agent047,0,64,61,64,64.0,norm eq. self,2
agent048,0,64,61,64,64.0,norm eq. self,2
agent049,0,62,61,62,62.0,norm eq. self,1
agent04a,0,62,61,62,62.0,norm eq. self,1
agent04b,0,61,62,61,61.0,norm eq. self,0
agent04c,0,62,61,62,62.0,norm eq. self,1
agent04d,0,61,61,61,61.0,norm eq. self,0
agent04e,0,61,61,61,61.0,norm eq. self,0
agent04f,0,62,61,62,62.0,norm eq. self,0
agent050,0,60,61,60,60.0,norm eq. self,0
agent051,0,65,61,65,65.0,norm eq. self,2
agent052,0,64,61,64,64.0,norm eq. self,2
agent053,0,64,61,64,64.0,norm eq. self,2
agent054,0,65,61,64,64.0,norm,0
agent055,0,62,61,62,62.0,norm eq. self,1
agent056,0,66,61,64,64.0,norm,0
agent057,0,61,61,61,61.0,norm eq. self,0
agent058,0,61,61,61,61.0,norm eq. self,1
agent059,0,62,61,62,62.0,norm eq. self,1
agent05a,0,64,61,64,64.0,norm eq. self,1
agent05b,0,62,61,62,62.0,norm eq. self,2
agent05c,0,63,61,63,63.0,norm eq. self,1
agent05d,0,61,61,61,61.0,norm eq. self,1
agent05e,0,61,61,61,61.0,norm eq. self,1
agent05f,0,60,61,60,60.0,norm eq. self,0
agent060,0,56,61,56,56.0,norm eq. self,0
agent061,0,61,61,61,61.0,norm eq. self,1
agent062,0,62,61,62,62.0,norm eq. self,0
agent063,0,64,61,64,64.0,norm eq. self,2
agent064,0,64,61,64,64.0,norm eq. self,1
agent065,0,59,61,59,59.0,norm eq. self,1
agent066,0,58,61,58,58.0,norm eq. self,0
agent067,0,62,61,62,62.0,norm eq. self,1
agent068,0,62,61,62,62.0,norm eq. self,1
agent069,0,62,61,62,62.0,norm eq. self,1
agent06a,0,60,61,60,60.0,norm eq. self,0
agent06b,0,61,61,61,61.0,norm eq. self,0
agent06c,0,61,61,61,61.0,norm eq. self,0
agent06d,0,64,61,64,64.0,norm eq. self,1
agent06e,0,63,61,63,63.0,norm eq. self,0
agent06f,0,63,61,63,63.0,norm eq. self,1
agent070,0,62,61,62,62.0,norm eq. self,0
agent071,0,59,61,59,59.0,norm eq. self,0
agent072,0,64,61,64,64.0,norm eq. self,1
agent073,0,57,61,57,57.0,norm eq. self,0
agent074,0,61,61,61,61.0,norm eq. self,0
agent075,0,62,61,62,62.0,norm eq. self,1
agent076,0,61,61,61,61.0,norm eq. self,0
agent077,0,61,61,61,61.0,norm eq. self,1
agent078,0,61,61,61,61.0,norm eq. self,0
agent079,0,62,61,62,62.0,norm eq. self,1
agent07a,0,64,61,64,64.0,norm eq. self,1
agent07b,0,63,61,63,63.0,norm eq. self,2
agent07c,0,62,61,62,62.0,norm eq. self,0
agent07d,0,61,61,61,61.0,norm eq. self,1
agent07e,0,63,61,63,63.0,norm eq. self,1
agent07f,0,63,61,63,63.0,norm eq. self,2
agent080,0,63,61,63,63.0,norm eq. self,2
agent081,0,60,61,60,60.0,norm eq. self,0
agent082,0,61,61,61,61.0,norm eq. self,1
agent083,0,62,61,62,62.0,norm eq. self,0
agent084,0,64,61,64,64.0,norm eq. self,2
agent085,0,59,61,59,59.0,norm eq. self,0
agent086,0,63,61,63,63.0,norm eq. self,2
agent087,0,64,61,64,64.0,norm eq. self,2
agent088,0,61,61,61,61.0,norm eq. self,0
agent089,0,61,61,61,61.0,norm eq. self,0
agent08a,0,61,61,61,61.0,norm eq. self,1
agent08b,0,56,61,56,56.0,norm eq. self,0
agent08c,0,63,61,63,63.0,norm eq. self,1
agent08d,0,62,61,62,62.0,norm eq. self,1
agent08e,0,60,61,60,60.0,norm eq. self,0
agent08f,0,62,61,62,62.0,norm eq. self,1
agent090,0,64,61,64,64.0,norm eq. self,2
agent091,0,64,61,64,64.0,norm eq. self,2
agent092,0,60,61,60,60.0,norm eq. self,2
agent093,0,59,61,59,59.0,norm eq. self,0
agent094,0,62,61,62,62.0,norm eq. self,0
agent095,0,62,61,62,62.0,norm eq. self,1
agent096,0,64,61,64,64.0,norm eq. self,2
agent097,0,61,61,61,61.0,norm eq. self,0
agent098,0,64,61,64,64.0,norm eq. self,1
agent099,0,64,61,64,64.0,norm eq. self,1
agent09a,0,64,61,64,64.0,norm eq. self,1
agent09b,0,64,61,64,64.0,norm eq. self,1
agent09c,0,64,61,64,64.0,norm eq. self,2
agent09d,0,65,61,64,64.0,norm,1
agent09e,0,62,61,62,62.0,norm eq. self,0
agent09f,0,60,61,60,60.0,norm eq. self,0
agent0a0,0,60,61,60,60.0,norm eq. self,0
agent0a1,0,64,61,64,64.0,norm eq. self,2
agent0a2,0,64,61,64,64.0,norm eq. self,1
agent0a3,0,58,61,58,58.0,norm eq. self,0
agent0a4,0,60,61,60,60.0,norm eq. self,0
agent0a5,0,63,61,63,63.0,norm eq. self,1
agent0a6,0,58,61,58,58.0,norm eq. self,0
agent0a7,0,62,61,62,62.0,norm eq. self,0
agent0a8,0,61,61,61,61.0,norm eq. self,0
agent0a9,0,62,61,62,62.0,norm eq. self,0
agent0aa,0,61,61,61,61.0,norm eq. self,1
agent0ab,0,58,61,58,58.0,norm eq. self,0
agent0ac,0,63,61,63,63.0,norm eq. self,1
agent0ad,0,62,61,62,62.0,norm eq. self,0
agent0ae,0,62,61,62,62.0,norm eq. self,0
agent0af,0,63,61,63,63.0,norm eq. self,1
agent0b0,0,59,61,59,59.0,norm eq. self,0
agent0b1,0,61,61,61,61.0,norm eq. self,0
agent0b2,0,65,61,65,65.0,norm eq. self,2
agent0b3,0,64,61,64,64.0,norm eq. self,1
agent0b4,0,64,61,64,64.0,norm eq. self,1
agent0b5,0,63,61,63,63.0,norm eq. self,1
agent0b6,0,62,61,62,62.0,norm eq. self,1
agent0b7,0,58,61,58,58.0,norm eq. self,1
agent0b8,0,60,61,60,60.0,norm eq. self,0
agent0b9,0,64,61,64,64.0,norm eq. self,1
agent0ba,0,64,61,64,64.0,norm eq. self,1
agent0bb,0,64,61,63,63.0,norm,1
agent0bc,0,64,61,64,64.0,norm eq. self,1
agent0bd,0,60,61,60,60.0,norm eq. self,0
agent0be,0,62,61,62,62.0,norm eq. self,0
agent0bf,0,61,61,61,61.0,norm eq. self,0
agent0c0,0,64,61,64,64.0,norm eq. self,2
agent0c1,0,64,61,64,64.0,norm eq. self,2
agent0c2,0,62,61,62,62.0,norm eq. self,1
agent0c3,0,61,61,61,61.0,norm eq. self,1
agent0c4,0,63,61,63,63.0,norm eq. self,0
agent0c5,0,60,61,60,60.0,norm eq. self,0
agent0c6,0,59,61,59,59.0,norm eq. self,0
agent0c7,0,62,61,62,62.0,norm eq. self,1
agent000,1,63,62,63,63.0,norm eq. self,1
agent001,1,64,62,64,64.0,norm eq. self,1
agent002,1,66,61,64,64.0,norm,0
agent003,1,62,62,62,62.0,norm eq. self,0
agent004,1,60,63,60,60.0,norm eq. self,0
agent005,1,63,62,63,63.0,norm eq. self,1
agent006,1,65,62,64,64.0,norm,1
agent007,1,63,62,63,63.0,norm eq. self,0
agent008,1,63,61,63,63.0,norm eq. self,1
agent009,1,65,62,64,64.0,norm,1
agent00a,1,60,66,60,60.0,norm eq. self,0
agent00b,1,67,62,64,64.0,norm,0
agent00c,1,61,62,61,61.0,norm eq. self,0
agent00d,1,64,61,64,64.0,norm eq. self,1
agent00e,1,64,63,64,64.0,norm eq. self,1
agent00f,1,67,62,64,64.0,norm,0
agent010,1,63,66,63,63.0,norm eq. self,1
agent011,1,60,62,60,60.0,norm eq. self,0
agent012,1,62,62,62,62.0,norm eq. self,0
agent013,1,60,60,60,60.0,norm eq. self,0
agent014,1,56,66,56,56.0,norm eq. self,0
agent015,1,61,66,61,61.0,norm eq. self,0
agent016,1,65,62,64,64.0,norm,1
agent017,1,58,61,58,58.0,norm eq. self,0
agent018,1,57,63,57,57.0,norm eq. self,0
agent019,1,56,62,56,56.0,norm eq. self,0
agent01a,1,64,62,64,64.0,norm eq. self,2
agent01b,1,66,65,64,64.0,norm,0
agent01c,1,63,62,63,63.0,norm eq. self,1
agent01d,1,64,62,64,64.0,norm eq. self,1
agent01e,1,64,62,64,64.0,norm eq. self,1
agent01f,1,61,62,61,61.0,norm eq. self,0
agent020,1,65,66,64,64.0,norm,1
agent021,1,60,66,60,60.0,norm eq. self,0
agent022,1,68,62,66,66.0,norm,1
agent023,1,62,61,62,62.0,norm eq. self,0
agent024,1,63,62,63,63.0,norm eq. self,0
agent025,1,61,62,61,61.0,norm eq. self,1
agent026,1,64,62,64,64.0,norm eq. self,1
agent027,1,60,64,60,60.0,norm eq. self,0
agent028,1,63,62,63,63.0,norm eq. self,1
agent029,1,66,63,64,64.0,norm,0
agent02a,1,63,62,63,63.0,norm eq. self,1
agent02b,1,64,66,64,64.0,norm eq. self,1
agent02c,1,66,66,64,64.0,norm,0
agent02d,1,60,60,60,60.0,norm eq. self,0
agent02e,1,62,63,62,62.0,norm eq. self,0
agent02f,1,59,63,59,59.0,norm eq. self,0
agent030,1,62,66,62,62.0,norm eq. self,0
agent031,1,66,60,64,64.0,norm,0
agent032,1,62,62,62,62.0,norm eq. self,1
agent033,1,60,62,60,60.0,norm eq. self,0
agent034,1,60,62,60,60.0,norm eq. self,0
agent035,1,59,61,59,59.0,norm eq. self,0
agent036,1,62,62,62,62.0,norm eq. self,0
agent037,1,60,66,60,60.0,norm eq. self,0
agent038,1,60,62,60,60.0,norm eq. self,0
agent039,1,61,62,61,61.0,norm eq. self,0
agent03a,1,62,62,62,62.0,norm eq. self,1
agent03b,1,61,61,61,61.0,norm eq. self,0
agent03c,1,67,62,64,64.0,norm,0
agent03d,1,65,62,64,64.0,norm,1
agent03e,1,61,62,61,61.0,norm eq. self,1
agent03f,1,62,60,62,62.0,norm eq. self,1
agent040,1,63,62,63,63.0,norm eq. self,0
agent041,1,61,60,61,61.0,norm eq. self,0
agent042,1,60,63,60,60.0,norm eq. self,0
agent043,1,65,62,64,64.0,norm,1
agent044,1,62,62,62,62.0,norm eq. self,0
agent045,1,64,66,64,64.0,norm eq. self,1
agent046,1,62,62,62,62.0,norm eq. self,0
agent047,1,66,66,66,66.0,norm eq. self,2
agent048,1,67,62,64,64.0,norm,0
agent049,1,63,66,63,63.0,norm eq. self,1
agent04a,1,63,63,63,63.0,norm eq. self,1
agent04b,1,61,65,61,61.0,norm eq. self,0
agent04c,1,63,63,63,63.0,norm eq. self,1
agent04d,1,61,62,61,61.0,norm eq. self,0
agent04e,1,61,62,61,61.0,norm eq. self,0
agent04f,1,62,61,62,62.0,norm eq. self,0
agent050,1,60,62,60,60.0,norm eq. self,0
agent051,1,67,63,66,66.0,norm,1
agent052,1,67,63,64,64.0,norm,0
agent053,1,66,62,64,64.0,norm,0
agent054,1,65,62,64,64.0,norm,0
agent055,1,63,62,63,63.0,norm eq. self,1
agent056,1,66,60,64,64.0,norm,0
agent057,1,61,66,61,61.0,norm eq. self,0
agent058,1,62,61,62,62.0,norm eq. self,1
agent059,1,63,66,63,63.0,norm eq. self,1
agent05a,1,66,60,64,64.0,norm,0
agent05b,1,64,62,64,64.0,norm eq. self,2
agent05c,1,64,62,64,64.0,norm eq. self,1
agent05d,1,62,62,62,62.0,norm eq. self,1
agent05e,1,62,65,62,62.0,norm eq. self,1
agent05f,1,60,62,60,60.0,norm eq. self,0
agent060,1,56,62,56,56.0,norm eq. self,0
agent061,1,62,62,62,62.0,norm eq. self,1
agent062,1,62,63,62,62.0,norm eq. self,0
agent063,1,66,62,66,66.0,norm eq. self,2
agent064,1,66,62,65,65.0,norm,1
agent065,1,60,62,60,60.0,norm eq. self,1
agent066,1,58,63,58,58.0,norm eq. self,0
agent067,1,63,62,63,63.0,norm eq. self,1
agent068,1,63,63,63,63.0,norm eq. self,1
agent069,1,63,61,63,63.0,norm eq. self,1
agent06a,1,60,61,60,60.0,norm eq. self,0
agent06b,1,61,62,61,61.0,norm eq. self,0
agent06c,1,61,62,61,61.0,norm eq. self,0
agent06d,1,65,60,64,64.0,norm,0
agent06e,1,63,66,63,63.0,norm eq. self,0
agent06f,1,64,63,64,64.0,norm eq. self,1
agent070,1,62,62,62,62.0,norm eq. self,0
agent071,1,59,63,59,59.0,norm eq. self,0
agent072,1,65,64,65,65.0,norm eq. self,1
agent073,1,57,62,57,57.0,norm eq. self,0
agent074,1,61,65,61,61.0,norm eq. self,0
agent075,1,64,64,64,64.0,norm eq. self,2
agent076,1,61,63,61,61.0,norm eq. self,0
agent077,1,62,62,62,62.0,norm eq. self,1
agent078,1,61,63,61,61.0,norm eq. self,0
agent079,1,63,65,63,63.0,norm eq. self,1
agent07a,1,65,62,64,64.0,norm,0
agent07b,1,65,62,64,64.0,norm,1
agent07c,1,62,62,62,62.0,norm eq. self,0
agent07d,1,62,62,62,62.0,norm eq. self,1
agent07e,1,64,62,64,64.0,norm eq. self,1
agent07f,1,65,60,64,64.0,norm,1
agent080,1,65,66,65,65.0,norm eq. self,2
agent081,1,60,63,60,60.0,norm eq. self,0
agent082,1,62,62,62,62.0,norm eq. self,1
agent083,1,62,62,62,62.0,norm eq. self,0
agent084,1,67,62,64,64.0,norm,0
agent085,1,59,62,59,59.0,norm eq. self,0
agent086,1,65,62,64,64.0,norm,1
agent087,1,66,66,66,66.0,norm eq. self,2
agent088,1,61,66,61,61.0,norm eq. self,0
agent089,1,61,65,61,61.0,norm eq. self,0
agent08a,1,62,62,62,62.0,norm eq. self,1
agent08b,1,56,63,56,56.0,norm eq. self,0
agent08c,1,65,66,64,64.0,norm,1
agent08d,1,63,62,63,63.0,norm eq. self,1
agent08e,1,60,62,60,60.0,norm eq. self,0
agent08f,1,63,62,63,63.0,norm eq. self,1
agent090,1,67,66,66,66.0,norm,2
agent091,1,66,66,66,66.0,norm eq. self,2
agent092,1,62,66,62,62.0,norm eq. self,2
agent093,1,59,66,59,59.0,norm eq. self,0
agent094,1,62,66,62,62.0,norm eq. self,0
agent095,1,63,63,63,63.0,norm eq. self,1
agent096,1,66,62,64,64.0,norm,0
agent097,1,61,66,61,61.0,norm eq. self,0
agent098,1,66,60,64,64.0,norm,0
agent099,1,66,60,64,64.0,norm,0
agent09a,1,66,66,64,64.0,norm,0
agent09b,1,65,62,64,64.0,norm,0
agent09c,1,66,62,66,66.0,norm eq. self,2
agent09d,1,66,60,64,64.0,norm,0
agent09e,1,62,60,62,62.0,norm eq. self,0
agent09f,1,60,62,60,60.0,norm eq. self,0
agent0a0,1,60,66,60,60.0,norm eq. self,0
agent0a1,1,66,66,66,66.0,norm eq. self,2
agent0a2,1,66,62,65,65.0,norm,1
agent0a3,1,58,62,58,58.0,norm eq. self,0
agent0a4,1,60,66,60,60.0,norm eq. self,0
