iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, MCOM
dec_strat, RAND3
popname, pop1.csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,66,65,60,60.0,norm,4
agent001,0,65,65,64,64.0,norm,0
agent002,0,66,65,62,62.0,norm,2
agent003,0,60,65,62,62.0,norm,2
agent004,0,61,65,64,64.0,norm,3
agent005,0,63,65,65,65.0,norm,3
agent006,0,65,61,62,62.0,norm,1
agent007,0,61,65,62,62.0,norm,1
agent008,0,65,65,62,62.0,norm,2
agent009,0,65,65,65,65.0,norm eq. self,1
agent00a,0,60,65,63,63.0,norm,3
agent00b,0,66,65,63,63.0,norm,1
agent00c,0,62,62,62,62.0,norm eq. self,0
agent00d,0,65,65,65,65.0,norm eq. self,1
agent00e,0,64,64,64,64.0,norm eq. self,1
agent00f,0,65,61,63,63.0,norm,0
agent010,0,64,65,64,64.0,norm eq. self,1
agent011,0,62,65,62,62.0,norm eq. self,0
agent012,0,62,65,61,61.0,norm,1
agent013,0,60,65,61,61.0,norm,1
agent014,0,60,65,61,61.0,norm,1
agent015,0,61,65,62,62.0,norm,1
agent016,0,65,65,62,62.0,norm,1
agent017,0,61,65,62,62.0,norm,1
agent018,0,59,65,57,57.0,norm,2
agent019,0,60,65,62,62.0,norm,2
agent01a,0,64,61,61,61.0,norm,1
agent01b,0,65,65,64,64.0,norm,1
agent01c,0,63,65,64,64.0,norm,2
agent01d,0,64,65,65,65.0,norm,2
agent01e,0,64,65,60,60.0,norm,3
agent01f,0,61,60,64,64.0,norm,3
agent020,0,65,65,64,64.0,norm,1
agent021,0,60,61,61,61.0,norm,1
agent022,0,65,65,64,64.0,norm,1
agent023,0,60,65,61,61.0,norm,1
agent024,0,62,65,62,62.0,norm eq. self,0
agent025,0,65,65,63,63.0,norm,0
agent026,0,65,65,62,62.0,norm,2
agent027,0,62,65,63,63.0,norm,1
agent028,0,64,65,59,59.0,norm,4
agent029,0,66,65,64,64.0,norm,0
agent02a,0,64,64,63,63.0,norm,0
agent02b,0,65,65,64,64.0,norm,0
agent02c,0,65,65,63,63.0,norm,0
agent02d,0,60,65,59,59.0,norm,1
agent02e,0,60,65,61,61.0,norm,1
agent02f,0,60,65,60,60.0,norm eq. self,0
agent030,0,62,65,62,62.0,norm eq. self,0
agent031,0,65,65,64,64.0,norm,1
agent032,0,65,65,65,65.0,norm eq. self,1
agent033,0,60,64,59,59.0,norm,1
agent034,0,62,65,60,60.0,norm,2
agent035,0,61,61,63,63.0,norm,2
agent036,0,62,65,62,62.0,norm eq. self,0
agent037,0,60,65,60,60.0,norm eq. self,0
agent038,0,60,61,60,60.0,norm eq. self,0
agent039,0,61,65,61,61.0,norm eq. self,0
agent03a,0,64,65,62,62.0,norm,1
agent03b,0,61,65,59,59.0,norm,2
agent03c,0,66,65,64,64.0,norm,0
agent03d,0,65,65,63,63.0,norm,0
agent03e,0,65,65,65,65.0,norm eq. self,1
agent03f,0,65,65,65,65.0,norm eq. self,1
agent040,0,61,65,62,62.0,norm,1
agent041,0,61,65,62,62.0,norm,1
agent042,0,60,65,60,60.0,norm eq. self,0
agent043,0,65,65,65,65.0,norm eq. self,1
agent044,0,60,65,60,60.0,norm eq. self,0
agent045,0,65,65,64,64.0,norm,0
agent046,0,62,65,57,57.0,norm,5
agent047,0,65,65,65,65.0,norm eq. self,2
agent048,0,66,65,64,64.0,norm,0
agent049,0,63,61,61,61.0,norm,1
agent04a,0,64,64,63,63.0,norm,0
agent04b,0,62,65,61,61.0,norm,1
agent04c,0,65,65,64,64.0,norm,0
agent04d,0,62,65,62,62.0,norm eq. self,0
agent04e,0,61,64,61,61.0,norm eq. self,0
agent04f,0,62,65,61,61.0,norm,1
agent050,0,61,61,61,61.0,norm eq. self,0
agent051,0,65,61,62,62.0,norm,1
agent052,0,66,65,64,64.0,norm,0
agent053,0,65,65,64,64.0,norm,1
agent054,0,62,65,62,62.0,norm eq. self,0
agent055,0,64,65,65,65.0,norm,2
agent056,0,64,65,62,62.0,norm,1
agent057,0,62,65,60,60.0,norm,2
agent058,0,64,65,64,64.0,norm eq. self,1
agent059,0,65,65,64,64.0,norm,0
agent05a,0,63,65,62,62.0,norm,0
agent05b,0,65,61,64,64.0,norm,1
agent05c,0,65,65,64,64.0,norm,0
agent05d,0,65,65,62,62.0,norm,2
agent05e,0,64,65,64,64.0,norm eq. self,1
agent05f,0,61,65,63,63.0,norm,2
agent060,0,61,65,62,62.0,norm,1
agent061,0,64,65,64,64.0,norm eq. self,1
agent062,0,61,65,61,61.0,norm eq. self,0
agent063,0,65,64,61,61.0,norm,2
agent064,0,64,65,64,64.0,norm eq. self,1
agent065,0,63,65,64,64.0,norm,2
agent066,0,62,65,63,63.0,norm,1
agent067,0,63,65,62,62.0,norm,0
agent068,0,64,64,63,63.0,norm,0
agent069,0,64,65,64,64.0,norm eq. self,1
agent06a,0,60,65,60,60.0,norm eq. self,0
agent06b,0,61,60,61,61.0,norm eq. self,0
agent06c,0,60,65,62,62.0,norm,2
agent06d,0,60,65,63,63.0,norm,3
agent06e,0,61,65,62,62.0,norm,1
agent06f,0,65,64,63,63.0,norm,1
agent070,0,61,65,61,61.0,norm eq. self,0
agent071,0,61,65,61,61.0,norm eq. self,0
agent072,0,62,65,63,63.0,norm,2
agent073,0,60,65,61,61.0,norm,1
agent074,0,61,64,64,64.0,norm,3
agent075,0,65,65,65,65.0,norm eq. self,2
agent076,0,60,65,60,60.0,norm eq. self,0
agent077,0,65,65,64,64.0,norm,0
agent078,0,62,65,64,64.0,norm,2
agent079,0,64,65,65,65.0,norm,2
agent07a,0,62,65,64,64.0,norm,2
agent07b,0,66,65,64,64.0,norm,0
agent07c,0,61,65,61,61.0,norm eq. self,0
