Name,Type,Communicative,Count Norm treshold, Init Area
agent000,opportunist,1,10,32
agent001,balanced,1,7,12
agent002,opportunist,1,9,17
agent003,conformist,1,5,40
agent004,conformist,1,10,26
agent005,balanced,1,5,19
agent006,opportunist,1,9,25
agent007,conformist,1,5,2
agent008,balanced,1,10,31
agent009,balanced,1,9,23
agent00a,conformist,1,7,37
agent00b,opportunist,1,9,4
agent00c,conformist,1,9,13
agent00d,balanced,1,8,27
agent00e,opportunist,1,9,34
agent00f,opportunist,1,6,5
agent010,balanced,1,6,32
agent011,conformist,1,8,19
agent012,conformist,1,8,37
agent013,conformist,1,9,34
agent014,conformist,1,5,38
agent015,conformist,1,7,25
agent016,opportunist,1,9,25
agent017,conformist,1,5,25
agent018,conformist,1,5,14
agent019,conformist,1,8,4
agent01a,opportunist,1,7,5
agent01b,opportunist,1,9,25
agent01c,balanced,1,10,11
agent01d,balanced,1,6,36
agent01e,balanced,1,8,30
agent01f,conformist,1,9,33
agent020,opportunist,1,8,22
agent021,conformist,1,6,13
agent022,opportunist,1,5,32
agent023,conformist,1,7,23
agent024,conformist,1,8,19
agent025,opportunist,1,7,31
agent026,balanced,1,9,37
agent027,conformist,1,6,7
agent028,opportunist,1,5,36
agent029,opportunist,1,10,34
agent02a,balanced,1,10,20
agent02b,balanced,1,8,9
agent02c,opportunist,1,10,18
agent02d,conformist,1,5,30
agent02e,conformist,1,5,38
agent02f,conformist,1,6,6
agent030,conformist,1,10,14
agent031,opportunist,1,7,28
agent032,balanced,1,9,36
agent033,conformist,1,5,13
agent034,conformist,1,7,22
agent035,conformist,1,8,32
agent036,conformist,1,9,12
agent037,conformist,1,5,1
agent038,conformist,1,9,3
agent039,conformist,1,6,26
agent03a,balanced,1,8,11
agent03b,conformist,1,9,6
agent03c,opportunist,1,8,7
agent03d,opportunist,1,7,9
agent03e,balanced,1,10,32
agent03f,balanced,1,10,37
agent040,conformist,1,6,25
agent041,conformist,1,5,40
agent042,conformist,1,8,25
agent043,balanced,1,10,7
agent044,conformist,1,7,27
agent045,balanced,1,9,4
agent046,conformist,1,9,25
agent047,opportunist,1,6,31
agent048,opportunist,1,9,9
agent049,balanced,1,10,6
agent04a,balanced,1,7,15
agent04b,conformist,1,8,38
agent04c,balanced,1,10,36
agent04d,conformist,1,9,24
agent04e,conformist,1,10,18
agent04f,conformist,1,8,22
agent050,conformist,1,10,22
agent051,opportunist,1,6,30
agent052,opportunist,1,8,4
agent053,opportunist,1,6,15
agent054,conformist,1,9,11
agent055,opportunist,1,7,39
agent056,balanced,1,6,28
agent057,conformist,1,7,11
agent058,balanced,1,5,17
agent059,balanced,1,9,10
agent05a,balanced,1,7,9
agent05b,opportunist,1,7,22
agent05c,balanced,1,8,40
agent05d,opportunist,1,7,36
agent05e,balanced,1,10,36
agent05f,conformist,1,7,39
agent060,conformist,1,7,2
agent061,balanced,1,9,30
agent062,conformist,1,5,20
agent063,opportunist,1,6,25
agent064,balanced,1,5,18
agent065,opportunist,1,5,40
agent066,conformist,1,8,4
agent067,opportunist,1,5,32
agent068,balanced,1,5,31
agent069,opportunist,1,10,37
agent06a,conformist,1,7,25
agent06b,conformist,1,10,38
agent06c,conformist,1,8,22
agent06d,conformist,1,8,5
agent06e,conformist,1,8,1
agent06f,balanced,1,10,12
agent070,conformist,1,5,12
agent071,conformist,1,9,4
agent072,balanced,1,5,32
agent073,conformist,1,5,13
agent074,conformist,1,10,1
agent075,opportunist,1,5,31
agent076,conformist,1,8,22
agent077,opportunist,1,9,40
agent078,conformist,1,6,24
agent079,balanced,1,5,40
agent07a,conformist,1,10,12
agent07b,opportunist,1,10,21
agent07c,conformist,1,7,30
agent07d,balanced,1,6,16
agent07e,balanced,1,6,16
agent07f,opportunist,1,7,21
agent080,opportunist,1,5,26
agent081,conformist,1,5,35
agent082,balanced,1,6,27
