iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, RND
dec_strat, MAJ3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,21,16,16.0,norm,20
agent001,0,15,14,15,15.0,self,1
agent002,0,13,23,13,13.0,self,1
agent003,0,38,41,38,38.0,self,1
agent004,0,15,19,15,15.0,self,2
agent005,0,26,42,26,26.0,self,2
agent006,0,23,33,23,23.0,self,2
agent007,0,3,33,3,3.0,self,1
agent008,0,42,40,42,42.0,self,2
agent009,0,31,33,31,31.0,self,1
agent00a,0,18,27,18,18.0,self,1
agent00b,0,33,34,33,33.0,self,3
agent00c,0,32,23,32,32.0,self,1
agent00d,0,12,33,12,12.0,self,2
agent00e,0,33,20,33,33.0,self,1
agent00f,0,14,40,14,14.0,self,3
agent010,0,39,22,39,39.0,self,2
agent011,0,22,28,22,22.0,self,2
agent012,0,12,37,12,12.0,self,1
agent013,0,34,8,34,34.0,self,3
agent014,0,15,30,15,15.0,self,3
agent015,0,17,32,17,17.0,self,1
agent016,0,30,17,30,30.0,self,1
agent017,0,36,16,36,36.0,self,2
agent018,0,18,40,18,18.0,self,3
agent019,0,33,16,33,33.0,self,3
agent01a,0,12,30,12,12.0,self,1
agent01b,0,15,41,15,15.0,self,1
agent01c,0,10,6,10,10.0,self,3
agent01d,0,35,9,35,35.0,self,3
agent01e,0,18,16,18,18.0,self,1
agent01f,0,41,26,41,41.0,self,1
agent020,0,42,23,42,42.0,self,3
agent021,0,5,5,5,5.0,self,2
agent022,0,23,23,23,23.0,self,3
agent023,0,15,34,15,15.0,self,1
agent024,0,22,23,22,22.0,self,1
agent025,0,37,22,37,37.0,self,3
agent026,0,40,23,40,40.0,self,3
agent027,0,7,17,7,7.0,self,3
agent028,0,29,24,29,29.0,self,1
agent029,0,27,15,27,27.0,self,3
agent02a,0,29,33,29,29.0,self,2
agent02b,0,7,11,7,7.0,self,3
agent02c,0,39,21,39,39.0,self,2
agent02d,0,28,18,23,23.0,norm,4
agent02e,0,8,10,8,8.0,self,1
agent02f,0,16,23,16,16.0,self,1
agent030,0,19,7,19,19.0,self,1
agent031,0,21,41,21,21.0,self,3
agent032,0,39,7,39,39.0,self,1
agent033,0,8,25,8,8.0,self,1
agent034,0,22,38,22,22.0,self,1
agent035,0,7,41,7,7.0,self,2
agent036,0,21,37,21,21.0,self,3
agent037,0,3,7,3,3.0,self,1
agent038,0,17,9,17,17.0,self,2
agent039,0,7,33,7,7.0,self,1
agent03a,0,27,8,27,27.0,self,3
agent03b,0,42,16,41,41.0,norm,1
agent03c,0,10,33,10,10.0,self,1
agent03d,0,7,14,7,7.0,self,1
agent03e,0,10,5,10,10.0,self,3
agent03f,0,10,37,10,10.0,self,2
agent040,0,9,38,23,23.0,norm,15
agent041,0,28,13,28,28.0,self,3
agent042,0,28,28,28,28.0,self,3
agent043,0,30,40,30,30.0,self,2
agent044,0,32,9,32,32.0,self,2
agent045,0,22,21,22,22.0,self,1
agent046,0,12,23,12,12.0,self,2
agent047,0,4,25,4,4.0,self,2
agent048,0,41,24,41,41.0,self,1
agent049,0,26,42,26,26.0,self,2
agent04a,0,27,23,27,27.0,self,3
agent04b,0,37,14,37,37.0,self,2
agent04c,0,31,29,31,31.0,self,1
agent04d,0,25,34,25,25.0,self,3
agent04e,0,41,37,41,41.0,self,3
agent04f,0,37,22,37,37.0,self,2
agent050,0,7,14,7,7.0,self,1
agent051,0,31,3,31,31.0,self,1
agent052,0,25,39,25,25.0,self,2
agent053,0,20,14,20,20.0,self,2
agent054,0,28,22,28,28.0,self,3
agent055,0,40,36,23,23.0,norm,15
agent056,0,16,12,16,16.0,self,2
agent057,0,11,40,11,11.0,self,1
agent058,0,34,34,34,34.0,self,2
agent059,0,43,30,43,43.0,self,3
agent05a,0,31,9,31,31.0,self,3
agent05b,0,37,24,37,37.0,self,1
agent05c,0,15,15,15,15.0,self,3
agent05d,0,13,8,13,13.0,self,3
agent05e,0,16,19,16,16.0,self,3
agent05f,0,3,37,3,3.0,self,1
agent060,0,21,23,21,21.0,self,2
agent061,0,27,13,27,27.0,self,1
agent062,0,28,20,28,28.0,self,1
agent063,0,3,27,3,3.0,self,1
agent064,0,37,24,37,37.0,self,1
agent065,0,25,15,25,25.0,self,3
agent066,0,23,36,23,23.0,self,1
agent067,0,20,8,20,20.0,self,3
agent068,0,38,16,38,38.0,self,3
agent069,0,23,39,23,23.0,self,1
agent06a,0,17,15,17,17.0,self,2
agent06b,0,13,10,13,13.0,self,3
agent06c,0,30,9,40,40.0,norm,13
agent06d,0,30,23,30,30.0,self,2
agent06e,0,20,37,20,20.0,self,3
agent06f,0,24,34,24,24.0,self,2
agent070,0,6,41,6,6.0,self,2
agent071,0,37,31,37,37.0,self,3
agent072,0,29,7,29,29.0,self,3
agent073,0,41,29,41,41.0,self,1
agent074,0,33,41,33,33.0,self,2
agent075,0,7,9,7,7.0,self,3
