iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, RND
dec_strat, RAND3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,22,37,37.0,self,1
agent001,0,15,15,15,15.0,self,1
agent002,0,13,8,13,13.0,self,1
agent003,0,38,30,38,38.0,self,1
agent004,0,15,3,15,15.0,self,2
agent005,0,26,14,26,26.0,self,2
agent006,0,23,31,23,23.0,self,2
agent007,0,3,28,3,3.0,self,1
agent008,0,42,14,42,42.0,self,2
agent009,0,31,30,31,31.0,self,1
agent00a,0,18,20,18,18.0,self,1
agent00b,0,33,10,33,33.0,self,3
agent00c,0,32,16,32,32.0,self,1
agent00d,0,12,39,12,12.0,self,2
agent00e,0,33,15,33,33.0,self,1
agent00f,0,14,7,14,14.0,self,3
agent010,0,39,16,39,39.0,self,2
agent011,0,22,6,22,22.0,self,2
agent012,0,12,37,12,12.0,self,1
agent013,0,34,33,34,34.0,self,3
agent014,0,15,14,15,15.0,self,3
agent015,0,17,18,17,17.0,self,1
agent016,0,30,41,30,30.0,self,1
agent017,0,36,23,36,36.0,self,2
agent018,0,18,18,18,18.0,self,3
agent019,0,33,3,33,33.0,self,3
agent01a,0,12,27,12,12.0,self,1
agent01b,0,15,33,15,15.0,self,1
agent01c,0,10,22,10,10.0,self,3
agent01d,0,35,27,35,35.0,self,3
agent01e,0,18,14,18,18.0,self,1
agent01f,0,41,33,41,41.0,self,1
agent020,0,42,40,42,42.0,self,3
agent021,0,5,40,5,5.0,self,2
agent022,0,23,22,23,23.0,self,3
agent023,0,15,18,23,23.0,norm,9
agent024,0,22,34,22,22.0,self,1
agent025,0,37,7,37,37.0,self,3
agent026,0,40,43,40,40.0,self,3
agent027,0,7,17,7,7.0,self,3
agent028,0,29,24,29,29.0,self,1
agent029,0,27,19,27,27.0,self,3
agent02a,0,29,3,29,29.0,self,2
agent02b,0,7,24,7,7.0,self,3
agent02c,0,39,41,39,39.0,self,2
agent02d,0,28,23,28,28.0,self,1
agent02e,0,8,39,8,8.0,self,1
agent02f,0,16,14,16,16.0,self,1
agent030,0,19,7,19,19.0,self,1
agent031,0,21,39,21,21.0,self,3
agent032,0,39,22,39,39.0,self,1
agent033,0,8,3,8,8.0,self,1
agent034,0,22,31,22,22.0,self,1
agent035,0,7,7,7,7.0,self,2
agent036,0,21,20,21,21.0,self,3
agent037,0,3,7,3,3.0,self,1
agent038,0,17,9,17,17.0,self,2
agent039,0,7,40,7,7.0,self,1
agent03a,0,27,33,27,27.0,self,3
agent03b,0,42,12,42,42.0,self,2
agent03c,0,10,39,10,10.0,self,1
agent03d,0,7,24,7,7.0,self,1
agent03e,0,10,19,10,10.0,self,3
agent03f,0,10,37,10,10.0,self,2
agent040,0,9,14,9,9.0,self,1
agent041,0,28,17,28,28.0,self,3
agent042,0,28,15,28,28.0,self,3
agent043,0,30,10,30,30.0,self,2
agent044,0,32,22,32,32.0,self,2
agent045,0,22,9,22,22.0,self,1
agent046,0,12,23,12,12.0,self,2
agent047,0,4,28,4,4.0,self,2
agent048,0,41,41,41,41.0,self,1
agent049,0,26,10,26,26.0,self,2
agent04a,0,27,18,27,27.0,self,3
agent04b,0,37,15,37,37.0,self,2
agent04c,0,31,41,31,31.0,self,1
agent04d,0,25,7,25,25.0,self,3
agent04e,0,41,18,41,41.0,self,3
agent04f,0,37,5,37,37.0,self,2
agent050,0,7,29,7,7.0,self,1
agent051,0,31,16,31,31.0,self,1
agent052,0,25,14,25,25.0,self,2
agent053,0,20,25,20,20.0,self,2
agent054,0,28,17,28,28.0,self,3
agent055,0,40,8,40,40.0,self,2
agent056,0,16,37,16,16.0,self,2
agent057,0,11,33,11,11.0,self,1
agent058,0,34,9,34,34.0,self,2
agent059,0,43,41,43,43.0,self,3
agent05a,0,31,21,31,31.0,self,3
agent05b,0,37,7,37,37.0,self,1
agent05c,0,15,3,15,15.0,self,3
agent05d,0,13,22,13,13.0,self,3
agent05e,0,16,21,16,16.0,self,3
agent05f,0,3,42,3,3.0,self,1
agent060,0,21,33,21,21.0,self,2
agent061,0,27,13,27,27.0,self,1
agent062,0,28,21,28,28.0,self,1
agent063,0,3,22,3,3.0,self,1
agent064,0,37,27,37,37.0,self,1
agent065,0,25,7,25,25.0,self,3
agent066,0,23,25,23,23.0,self,1
agent067,0,20,8,20,20.0,self,3
agent068,0,38,16,38,38.0,self,3
agent069,0,23,36,23,23.0,self,1
agent06a,0,17,7,17,17.0,self,2
agent06b,0,13,17,13,13.0,self,3
agent06c,0,30,14,30,30.0,self,3
agent06d,0,30,9,30,30.0,self,2
agent06e,0,20,38,20,20.0,self,3
agent06f,0,24,19,24,24.0,self,2
agent070,0,6,42,6,6.0,self,2
agent071,0,37,33,37,37.0,self,3
agent072,0,29,15,29,29.0,self,3
agent073,0,41,24,41,41.0,self,1
agent074,0,33,28,33,33.0,self,2
agent075,0,7,8,7,7.0,self,3
agent076,0,20,32,20,20.0,self,1
agent077,0,27,39,27,27.0,self,1
agent078,0,38,36,38,38.0,self,2
agent079,0,5,30,5,5.0,self,1
agent07a,0,9,9,9,9.0,self,3
agent07b,0,30,33,30,30.0,self,3
agent07c,0,33,18,33,33.0,self,1
agent07d,0,39,24,39,39.0,self,3
agent07e,0,24,15,24,24.0,self,3
agent07f,0,24,9,22,22.0,norm,0
agent080,0,37,23,37,37.0,self,1
agent081,0,35,30,35,35.0,self,3
agent082,0,29,7,29,29.0,self,1
agent083,0,20,13,20,20.0,self,1
agent084,0,23,15,23,23.0,self,2
agent085,0,24,17,24,24.0,self,1
agent086,0,41,40,41,41.0,self,1
agent087,0,28,23,28,28.0,self,1
agent088,0,14,34,14,14.0,self,1
agent089,0,20,33,20,20.0,self,2
agent08a,0,14,18,14,14.0,self,1
agent08b,0,34,36,34,34.0,self,3
agent08c,0,40,20,40,40.0,self,3
agent08d,0,42,18,42,42.0,self,2
agent08e,0,18,40,18,18.0,self,1
agent08f,0,25,29,25,25.0,self,1
agent090,0,18,37,18,18.0,self,1
agent091,0,11,7,11,11.0,self,2
agent092,0,7,18,7,7.0,self,1
agent093,0,23,39,23,23.0,self,2
agent094,0,13,15,13,13.0,self,2
agent095,0,10,42,10,10.0,self,2
agent096,0,30,14,30,30.0,self,2
agent097,0,22,20,22,22.0,self,3
agent098,0,5,7,5,5.0,self,1
agent099,0,23,22,23,23.0,self,1
agent09a,0,21,25,21,21.0,self,2
agent09b,0,16,41,16,16.0,self,1
agent09c,0,30,8,30,30.0,self,3
agent09d,0,11,27,11,11.0,self,2
agent09e,0,14,20,14,14.0,self,2
agent09f,0,4,3,4,4.0,self,3
agent0a0,0,40,39,40,40.0,self,3
agent0a1,0,23,42,23,23.0,self,1
agent0a2,0,17,37,17,17.0,self,3
agent0a3,0,36,19,36,36.0,self,2
agent0a4,0,26,23,26,26.0,self,3
agent0a5,0,9,7,9,9.0,self,3
agent0a6,0,34,37,34,34.0,self,1
agent0a7,0,34,37,34,34.0,self,3
agent0a8,0,42,23,42,42.0,self,2
agent0a9,0,23,31,23,23.0,self,3
agent0aa,0,31,26,31,31.0,self,2
agent0ab,0,16,28,16,16.0,self,3
agent0ac,0,33,40,33,33.0,self,1
agent0ad,0,41,30,41,41.0,self,3
agent0ae,0,40,23,40,40.0,self,1
agent0af,0,19,33,19,19.0,self,1
agent0b0,0,28,42,28,28.0,self,1
agent0b1,0,41,19,41,41.0,self,2
agent0b2,0,24,7,24,24.0,self,3
agent0b3,0,40,38,40,40.0,self,2
agent0b4,0,40,9,40,40.0,self,1
agent0b5,0,23,37,23,23.0,self,1
agent0b6,0,14,4,14,14.0,self,1
agent0b7,0,41,25,41,41.0,self,2
agent0b8,0,36,37,36,36.0,self,1
agent0b9,0,36,34,36,36.0,self,3
agent0ba,0,8,24,8,8.0,self,3
agent0bb,0,33,40,33,33.0,self,2
agent0bc,0,22,21,22,22.0,self,2
agent0bd,0,18,32,23,23.0,norm,8
agent0be,0,16,12,16,16.0,self,1
agent0bf,0,5,3,5,5.0,self,2
agent0c0,0,21,22,21,21.0,self,3
agent0c1,0,8,27,8,8.0,self,1
agent0c2,0,19,16,19,19.0,self,3
agent0c3,0,16,16,16,16.0,self,3
agent0c4,0,15,22,15,15.0,self,1
agent0c5,0,2,37,2,2.0,self,1
agent0c6,0,27,15,27,27.0,self,2
agent0c7,0,3,5,3,3.0,self,2
agent000,1,38,23,38,38.0,self,1
agent001,1,16,37,16,16.0,self,1
agent002,1,14,33,14,14.0,self,1
agent003,1,39,24,39,39.0,self,1
agent004,1,17,16,17,17.0,self,2
agent005,1,28,20,28,28.0,self,2
agent006,1,25,8,25,25.0,self,2
agent007,1,4,26,4,4.0,self,1
agent008,1,44,28,44,44.0,self,2
agent009,1,32,32,32,32.0,self,1
agent00a,1,19,26,19,19.0,self,1
agent00b,1,36,10,36,36.0,self,3
agent00c,1,33,18,33,33.0,self,1
agent00d,1,14,4,14,14.0,self,2
agent00e,1,34,25,34,34.0,self,1
agent00f,1,17,24,17,17.0,self,3
agent010,1,41,8,41,41.0,self,2
agent011,1,24,29,24,24.0,self,2
agent012,1,13,33,13,13.0,self,1
agent013,1,37,9,37,37.0,self,3
agent014,1,18,35,18,18.0,self,3
agent015,1,18,37,18,18.0,self,1
agent016,1,31,6,31,31.0,self,1
agent017,1,38,30,38,38.0,self,2
agent018,1,21,12,21,21.0,self,3
agent019,1,36,15,36,36.0,self,3
agent01a,1,13,22,13,13.0,self,1
agent01b,1,16,25,16,16.0,self,1
agent01c,1,13,18,13,13.0,self,3
agent01d,1,38,25,38,38.0,self,3
agent01e,1,19,16,19,19.0,self,1
agent01f,1,42,33,42,42.0,self,1
agent020,1,45,32,45,45.0,self,3
agent021,1,7,28,7,7.0,self,2
agent022,1,26,4,26,26.0,self,3
agent023,1,24,19,23,23.0,norm,0
agent024,1,23,11,23,23.0,self,1
