iteration, 300
pop_size, 200
LNK_strat, MCOM
L2agg_strat, RND
dec_strat, QUART
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,1,1,1.0,norm,35
agent001,0,15,1,1,1.0,norm,13
agent002,0,13,2,2,2.0,norm,10
agent003,0,38,1,1,1.0,norm,36
agent004,0,15,1,1,1.0,norm,12
agent005,0,26,2,2,2.0,norm,22
agent006,0,23,1,1,1.0,norm,20
agent007,0,3,4,3,3.0,self,1
agent008,0,42,2,2,2.0,norm,38
agent009,0,31,1,1,1.0,norm,29
agent00a,0,18,1,1,1.0,norm,16
agent00b,0,33,4,33,33.0,self,3
agent00c,0,32,2,2,2.0,norm,29
agent00d,0,12,2,2,2.0,norm,8
agent00e,0,33,2,2,2.0,norm,30
agent00f,0,14,1,1,1.0,norm,10
agent010,0,39,2,2,2.0,norm,35
agent011,0,22,1,1,1.0,norm,19
agent012,0,12,1,1,1.0,norm,10
agent013,0,34,1,1,1.0,norm,30
agent014,0,15,1,1,1.0,norm,11
agent015,0,17,1,1,1.0,norm,15
agent016,0,30,3,30,30.0,self,1
agent017,0,36,1,1,1.0,norm,33
agent018,0,18,1,1,1.0,norm,14
agent019,0,33,1,1,1.0,norm,29
agent01a,0,12,1,1,1.0,norm,10
agent01b,0,15,2,2,2.0,norm,12
agent01c,0,10,2,2,2.0,norm,5
agent01d,0,35,3,35,35.0,self,3
agent01e,0,18,1,1,1.0,norm,16
agent01f,0,41,4,41,41.0,self,1
agent020,0,42,1,1,1.0,norm,38
agent021,0,5,2,2,2.0,norm,1
agent022,0,23,2,2,2.0,norm,18
agent023,0,15,2,2,2.0,norm,12
agent024,0,22,1,1,1.0,norm,20
agent025,0,37,1,1,1.0,norm,33
agent026,0,40,2,2,2.0,norm,35
agent027,0,7,2,2,2.0,norm,2
agent028,0,29,1,1,1.0,norm,27
agent029,0,27,33,27,27.0,self,3
agent02a,0,29,1,1,1.0,norm,26
agent02b,0,7,1,1,1.0,norm,3
agent02c,0,39,2,2,2.0,norm,35
agent02d,0,28,1,1,1.0,norm,26
agent02e,0,8,4,8,8.0,self,1
agent02f,0,16,1,1,1.0,norm,14
agent030,0,19,1,1,1.0,norm,17
agent031,0,21,1,1,1.0,norm,17
agent032,0,39,2,2,2.0,norm,36
agent033,0,8,2,2,2.0,norm,5
agent034,0,22,1,1,1.0,norm,20
agent035,0,7,1,1,1.0,norm,4
agent036,0,21,2,2,2.0,norm,16
agent037,0,3,2,2,2.0,norm,0
agent038,0,17,2,2,2.0,norm,13
agent039,0,7,1,1,1.0,norm,5
agent03a,0,27,1,1,1.0,norm,23
agent03b,0,42,4,4,4.0,norm,36
agent03c,0,10,1,1,1.0,norm,8
agent03d,0,7,1,1,1.0,norm,5
agent03e,0,10,1,1,1.0,norm,6
agent03f,0,10,1,1,1.0,norm,7
agent040,0,9,2,2,2.0,norm,6
agent041,0,28,1,1,1.0,norm,24
agent042,0,28,1,1,1.0,norm,24
agent043,0,30,2,2,2.0,norm,26
agent044,0,32,1,1,1.0,norm,29
agent045,0,22,1,1,1.0,norm,20
agent046,0,12,1,1,1.0,norm,9
agent047,0,4,1,1,1.0,norm,1
agent048,0,41,4,41,41.0,self,1
agent049,0,26,1,1,1.0,norm,23
agent04a,0,27,1,1,1.0,norm,23
agent04b,0,37,1,1,1.0,norm,34
agent04c,0,31,1,1,1.0,norm,29
agent04d,0,25,1,1,1.0,norm,21
agent04e,0,41,1,1,1.0,norm,37
agent04f,0,37,1,1,1.0,norm,34
agent050,0,7,2,2,2.0,norm,4
agent051,0,31,2,2,2.0,norm,28
agent052,0,25,2,2,2.0,norm,21
agent053,0,20,2,2,2.0,norm,16
agent054,0,28,5,28,28.0,self,3
agent055,0,40,2,2,2.0,norm,36
agent056,0,16,1,1,1.0,norm,13
agent057,0,11,1,1,1.0,norm,9
agent058,0,34,2,2,2.0,norm,30
agent059,0,43,3,43,43.0,self,3
agent05a,0,31,2,2,2.0,norm,26
agent05b,0,37,4,37,37.0,self,1
agent05c,0,15,1,1,1.0,norm,11
agent05d,0,13,2,2,2.0,norm,8
agent05e,0,16,2,2,2.0,norm,11
agent05f,0,3,2,2,2.0,norm,0
agent060,0,21,4,21,21.0,self,2
agent061,0,27,2,2,2.0,norm,24
agent062,0,28,1,1,1.0,norm,26
agent063,0,3,1,1,1.0,norm,1
agent064,0,37,1,1,1.0,norm,35
agent065,0,25,1,1,1.0,norm,21
agent066,0,23,2,2,2.0,norm,20
agent067,0,20,2,2,2.0,norm,15
agent068,0,38,2,2,2.0,norm,33
agent069,0,23,1,1,1.0,norm,21
agent06a,0,17,1,1,1.0,norm,14
agent06b,0,13,1,1,1.0,norm,9
agent06c,0,30,1,1,1.0,norm,26
agent06d,0,30,1,1,1.0,norm,27
agent06e,0,20,1,1,1.0,norm,16
agent06f,0,24,1,1,1.0,norm,21
agent070,0,6,2,2,2.0,norm,2
agent071,0,37,1,1,1.0,norm,33
agent072,0,29,1,1,1.0,norm,25
agent073,0,41,1,1,1.0,norm,39
agent074,0,33,1,1,1.0,norm,30
agent075,0,7,2,2,2.0,norm,2
agent076,0,20,2,2,2.0,norm,17
agent077,0,27,1,1,1.0,norm,25
agent078,0,38,1,1,1.0,norm,35
agent079,0,5,1,1,1.0,norm,3
agent07a,0,9,1,1,1.0,norm,5
agent07b,0,30,1,1,1.0,norm,26
agent07c,0,33,1,1,1.0,norm,31
agent07d,0,39,1,1,1.0,norm,35
agent07e,0,24,1,1,1.0,norm,20
agent07f,0,24,2,2,2.0,norm,20
agent080,0,37,4,37,37.0,self,1
agent081,0,35,2,2,2.0,norm,30
agent082,0,29,1,1,1.0,norm,27
agent083,0,20,1,1,1.0,norm,18
agent084,0,23,2,23,23.0,self,2
agent085,0,24,1,1,1.0,norm,22
agent086,0,41,2,2,2.0,norm,38
agent087,0,28,1,1,1.0,norm,26
agent088,0,14,2,2,2.0,norm,11
agent089,0,20,3,20,20.0,self,2
agent08a,0,14,1,1,1.0,norm,12
agent08b,0,34,1,1,1.0,norm,30
agent08c,0,40,1,1,1.0,norm,36
agent08d,0,42,1,1,1.0,norm,39
