iteration, 300
pop_size, 200
LNK_strat, MCOM
L2agg_strat, RND
dec_strat, RAND3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,16,37,37.0,self,1
agent001,0,15,41,15,15.0,self,1
agent002,0,13,9,13,13.0,self,1
agent003,0,38,31,38,38.0,self,1
agent004,0,15,23,15,15.0,self,2
agent005,0,26,37,26,26.0,self,2
agent006,0,23,33,23,23.0,self,2
agent007,0,3,42,3,3.0,self,1
agent008,0,42,40,42,42.0,self,2
agent009,0,31,20,31,31.0,self,1
agent00a,0,18,34,18,18.0,self,1
agent00b,0,33,25,33,33.0,self,3
agent00c,0,32,21,32,32.0,self,1
agent00d,0,12,38,12,12.0,self,2
agent00e,0,33,36,33,33.0,self,1
agent00f,0,14,39,14,14.0,self,3
agent010,0,39,36,39,39.0,self,2
agent011,0,22,26,22,22.0,self,2
agent012,0,12,41,12,12.0,self,1
agent013,0,34,33,34,34.0,self,3
agent014,0,15,16,15,15.0,self,3
agent015,0,17,13,17,17.0,self,1
agent016,0,30,13,30,30.0,self,1
agent017,0,36,22,36,36.0,self,2
agent018,0,18,42,18,18.0,self,3
agent019,0,33,41,33,33.0,self,3
agent01a,0,12,7,12,12.0,self,1
agent01b,0,15,18,15,15.0,self,1
agent01c,0,10,15,10,10.0,self,3
agent01d,0,35,30,35,35.0,self,3
agent01e,0,18,18,18,18.0,self,1
agent01f,0,41,28,41,41.0,self,1
agent020,0,42,23,42,42.0,self,3
agent021,0,5,21,5,5.0,self,2
agent022,0,23,7,23,23.0,self,3
agent023,0,15,33,15,15.0,self,1
agent024,0,22,23,22,22.0,self,1
agent025,0,37,43,37,37.0,self,3
agent026,0,40,27,40,40.0,self,3
agent027,0,7,24,7,7.0,self,3
agent028,0,29,24,29,29.0,self,1
agent029,0,27,10,27,27.0,self,3
agent02a,0,29,39,29,29.0,self,2
agent02b,0,7,16,7,7.0,self,3
agent02c,0,39,41,39,39.0,self,2
agent02d,0,28,7,23,23.0,norm,4
agent02e,0,8,14,8,8.0,self,1
agent02f,0,16,8,16,16.0,self,1
agent030,0,19,20,19,19.0,self,1
agent031,0,21,11,21,21.0,self,3
agent032,0,39,28,39,39.0,self,1
agent033,0,8,19,8,8.0,self,1
agent034,0,22,8,22,22.0,self,1
agent035,0,7,7,7,7.0,self,2
agent036,0,21,38,21,21.0,self,3
agent037,0,3,37,3,3.0,self,1
agent038,0,17,18,17,17.0,self,2
agent039,0,7,17,7,7.0,self,1
agent03a,0,27,14,27,27.0,self,3
agent03b,0,42,27,42,42.0,self,2
agent03c,0,10,32,10,10.0,self,1
agent03d,0,7,40,7,7.0,self,1
agent03e,0,10,15,10,10.0,self,3
agent03f,0,10,28,10,10.0,self,2
agent040,0,9,7,23,23.0,norm,15
agent041,0,28,12,28,28.0,self,3
agent042,0,28,15,28,28.0,self,3
agent043,0,30,32,30,30.0,self,2
agent044,0,32,28,32,32.0,self,2
agent045,0,22,15,22,22.0,self,1
agent046,0,12,13,12,12.0,self,2
agent047,0,4,28,4,4.0,self,2
agent048,0,41,11,41,41.0,self,1
agent049,0,26,8,26,26.0,self,2
agent04a,0,27,37,27,27.0,self,3
agent04b,0,37,23,37,37.0,self,2
agent04c,0,31,16,31,31.0,self,1
agent04d,0,25,16,25,25.0,self,3
agent04e,0,41,40,41,41.0,self,3
agent04f,0,37,23,37,37.0,self,2
agent050,0,7,23,7,7.0,self,1
agent051,0,31,40,31,31.0,self,1
agent052,0,25,23,25,25.0,self,2
agent053,0,20,20,20,20.0,self,2
agent054,0,28,21,41,41.0,norm,16
agent055,0,40,25,40,40.0,self,2
agent056,0,16,23,16,16.0,self,2
agent057,0,11,41,11,11.0,self,1
agent058,0,34,23,34,34.0,self,2
agent059,0,43,39,43,43.0,self,3
agent05a,0,31,41,31,31.0,self,3
agent05b,0,37,41,37,37.0,self,1
agent05c,0,15,12,15,15.0,self,3
agent05d,0,13,21,13,13.0,self,3
agent05e,0,16,34,16,16.0,self,3
agent05f,0,3,42,3,3.0,self,1
agent060,0,21,36,21,21.0,self,2
agent061,0,27,30,27,27.0,self,1
agent062,0,28,30,28,28.0,self,1
agent063,0,3,31,3,3.0,self,1
agent064,0,37,23,37,37.0,self,1
agent065,0,25,38,25,25.0,self,3
agent066,0,23,9,23,23.0,self,1
agent067,0,20,19,20,20.0,self,3
agent068,0,38,10,38,38.0,self,3
agent069,0,23,27,23,23.0,self,1
agent06a,0,17,41,17,17.0,self,2
agent06b,0,13,16,13,13.0,self,3
agent06c,0,30,31,30,30.0,self,3
agent06d,0,30,36,30,30.0,self,2
agent06e,0,20,27,20,20.0,self,3
agent06f,0,24,33,24,24.0,self,2
agent070,0,6,40,6,6.0,self,2
agent071,0,37,7,37,37.0,self,3
agent072,0,29,20,29,29.0,self,3
agent073,0,41,39,41,41.0,self,1
agent074,0,33,21,33,33.0,self,2
agent075,0,7,39,7,7.0,self,3
agent076,0,20,10,20,20.0,self,1
agent077,0,27,21,27,27.0,self,1
agent078,0,38,25,38,38.0,self,2
agent079,0,5,15,5,5.0,self,1
agent07a,0,9,11,9,9.0,self,3
agent07b,0,30,29,30,30.0,self,3
agent07c,0,33,37,33,33.0,self,1
agent07d,0,39,33,39,39.0,self,3
agent07e,0,24,4,24,24.0,self,3
agent07f,0,24,41,24,24.0,self,2
agent080,0,37,40,37,37.0,self,1
agent081,0,35,15,35,35.0,self,3
agent082,0,29,23,29,29.0,self,1
agent083,0,20,41,20,20.0,self,1
agent084,0,23,18,23,23.0,self,2
agent085,0,24,28,24,24.0,self,1
agent086,0,41,31,41,41.0,self,1
agent087,0,28,8,28,28.0,self,1
agent088,0,14,3,14,14.0,self,1
agent089,0,20,7,20,20.0,self,2
agent08a,0,14,9,14,14.0,self,1
agent08b,0,34,3,34,34.0,self,3
agent08c,0,40,20,40,40.0,self,3
agent08d,0,42,34,42,42.0,self,2
agent08e,0,18,40,18,18.0,self,1
agent08f,0,25,4,25,25.0,self,1
agent090,0,18,22,18,18.0,self,1
agent091,0,11,33,11,11.0,self,2
agent092,0,7,15,7,7.0,self,1
agent093,0,23,32,23,23.0,self,2
agent094,0,13,5,13,13.0,self,2
agent095,0,10,25,10,10.0,self,2
agent096,0,30,20,30,30.0,self,2
agent097,0,22,20,22,22.0,self,3
agent098,0,5,22,5,5.0,self,1
agent099,0,23,30,23,23.0,norm=self,1
agent09a,0,21,8,21,21.0,self,2
agent09b,0,16,16,16,16.0,self,1
agent09c,0,30,14,30,30.0,self,3
agent09d,0,11,41,11,11.0,self,2
agent09e,0,14,28,14,14.0,self,2
agent09f,0,4,37,4,4.0,self,3
agent0a0,0,40,30,40,40.0,self,3
agent0a1,0,23,23,23,23.0,self,1
agent0a2,0,17,17,17,17.0,self,3
agent0a3,0,36,9,36,36.0,self,2
agent0a4,0,26,27,26,26.0,self,3
agent0a5,0,9,22,9,9.0,self,3
agent0a6,0,34,29,34,34.0,self,1
agent0a7,0,34,29,34,34.0,self,3
agent0a8,0,42,13,42,42.0,self,2
agent0a9,0,23,27,23,23.0,self,3
agent0aa,0,31,30,31,31.0,self,2
agent0ab,0,16,34,16,16.0,self,3
agent0ac,0,33,26,33,33.0,self,1
agent0ad,0,41,36,41,41.0,self,3
agent0ae,0,40,3,40,40.0,self,1
agent0af,0,19,11,19,19.0,self,1
agent0b0,0,28,17,28,28.0,self,1
agent0b1,0,41,28,41,41.0,self,2
agent0b2,0,24,34,24,24.0,self,3
agent0b3,0,40,19,40,40.0,self,2
agent0b4,0,40,40,40,40.0,self,1
agent0b5,0,23,30,23,23.0,self,1
agent0b6,0,14,16,14,14.0,self,1
agent0b7,0,41,36,41,41.0,self,2
agent0b8,0,36,3,36,36.0,self,1
agent0b9,0,36,41,36,36.0,self,3
agent0ba,0,8,7,8,8.0,self,3
agent0bb,0,33,40,33,33.0,self,2
agent0bc,0,22,12,22,22.0,self,2
agent0bd,0,18,41,18,18.0,self,3
agent0be,0,16,27,16,16.0,self,1
agent0bf,0,5,37,5,5.0,self,2
agent0c0,0,21,25,21,21.0,self,3
agent0c1,0,8,41,8,8.0,self,1
agent0c2,0,19,4,19,19.0,self,3
agent0c3,0,16,12,16,16.0,self,3
agent0c4,0,15,4,15,15.0,self,1
agent0c5,0,2,40,2,2.0,self,1
agent0c6,0,27,15,27,27.0,self,2
agent0c7,0,3,14,23,23.0,norm,22
agent000,1,38,41,38,38.0,self,1
agent001,1,16,13,16,16.0,self,1
agent002,1,14,14,14,14.0,self,1
agent003,1,39,24,39,39.0,self,1
agent004,1,17,24,17,17.0,self,2
agent005,1,28,25,28,28.0,self,2
agent006,1,25,21,25,25.0,self,2
agent007,1,4,43,4,4.0,self,1
agent008,1,44,42,44,44.0,self,2
agent009,1,32,17,32,32.0,self,1
agent00a,1,19,34,19,19.0,self,1
agent00b,1,36,24,36,36.0,self,3
agent00c,1,33,35,33,33.0,self,1
agent00d,1,14,27,14,14.0,self,2
agent00e,1,34,27,34,34.0,self,1
agent00f,1,17,41,17,17.0,self,3
agent010,1,41,44,41,41.0,self,2
agent011,1,24,11,24,24.0,self,2
agent012,1,13,21,13,13.0,self,1
agent013,1,37,42,37,37.0,self,3
agent014,1,18,44,18,18.0,self,3
agent015,1,18,43,18,18.0,self,1
agent016,1,31,33,31,31.0,self,1
agent017,1,38,37,38,38.0,self,2
agent018,1,21,44,21,21.0,self,3
agent019,1,36,21,36,36.0,self,3
agent01a,1,13,42,13,13.0,self,1
agent01b,1,16,12,16,16.0,self,1
agent01c,1,13,24,13,13.0,self,3
agent01d,1,38,31,38,38.0,self,3
agent01e,1,19,29,19,19.0,self,1
agent01f,1,42,21,42,42.0,self,1
agent020,1,45,9,45,45.0,self,3
agent021,1,7,34,7,7.0,self,2
agent022,1,26,23,26,26.0,self,3
agent023,1,16,9,16,16.0,self,1
agent024,1,23,40,23,23.0,self,1
agent025,1,40,35,40,40.0,self,3
agent026,1,43,44,43,43.0,self,3
agent027,1,10,11,10,10.0,self,3
agent028,1,30,33,30,30.0,self,1
agent029,1,30,44,30,30.0,self,3
agent02a,1,31,3,31,31.0,self,2
agent02b,1,10,17,10,10.0,self,3
agent02c,1,41,12,41,41.0,self,2
agent02d,1,23,16,23,23.0,norm=self,0
agent02e,1,9,43,9,9.0,self,1
agent02f,1,17,27,17,17.0,self,1
agent030,1,20,44,20,20.0,self,1
agent031,1,24,37,24,24.0,self,3
agent032,1,40,19,40,40.0,self,1
agent033,1,9,37,9,9.0,self,1
agent034,1,23,10,23,23.0,self,1
agent035,1,9,24,9,9.0,self,2
agent036,1,24,25,24,24.0,self,3
agent037,1,4,42,4,4.0,self,1
agent038,1,19,37,19,19.0,self,2
agent039,1,8,18,8,8.0,self,1
agent03a,1,30,41,30,30.0,self,3
agent03b,1,44,8,44,44.0,self,2
agent03c,1,11,41,11,11.0,self,1
agent03d,1,8,16,8,8.0,self,1
agent03e,1,13,41,13,13.0,self,3
agent03f,1,12,7,12,12.0,self,2
agent040,1,24,23,23,23.0,norm,0
agent041,1,31,12,31,31.0,self,3
agent042,1,31,21,31,31.0,self,3
agent043,1,32,16,32,32.0,self,2
agent044,1,34,43,34,34.0,self,2
agent045,1,23,24,23,23.0,self,1
agent046,1,14,25,14,14.0,self,2
agent047,1,6,28,6,6.0,self,2
agent048,1,42,43,42,42.0,self,1
agent049,1,28,24,28,28.0,self,2
agent04a,1,30,24,30,30.0,self,3
agent04b,1,39,37,39,39.0,self,2
agent04c,1,32,41,32,32.0,self,1
agent04d,1,28,37,28,28.0,self,3
agent04e,1,44,24,44,44.0,self,3
agent04f,1,39,8,39,39.0,self,2
agent050,1,8,40,8,8.0,self,1
agent051,1,32,38,32,32.0,self,1
agent052,1,27,36,27,27.0,self,2
agent053,1,22,13,22,22.0,self,2
agent054,1,44,9,41,41.0,norm,0
agent055,1,42,29,42,42.0,self,2
agent056,1,18,23,18,18.0,self,2
agent057,1,12,7,12,12.0,self,1
agent058,1,36,38,36,36.0,self,2
agent059,1,46,32,46,46.0,self,3
agent05a,1,34,24,34,34.0,self,3
agent05b,1,38,28,38,38.0,self,1
agent05c,1,18,12,18,18.0,self,3
agent05d,1,16,34,16,16.0,self,3
agent05e,1,19,29,19,19.0,self,3
agent05f,1,4,16,4,4.0,self,1
agent060,1,23,24,23,23.0,self,2
agent061,1,28,38,28,28.0,self,1
agent062,1,29,23,29,29.0,self,1
agent063,1,4,18,4,4.0,self,1
agent064,1,38,44,38,38.0,self,1
agent065,1,28,13,28,28.0,self,3
agent066,1,24,38,24,24.0,self,1
agent067,1,23,19,23,23.0,self,3
agent068,1,41,40,41,41.0,self,3
agent069,1,24,23,24,24.0,self,1
agent06a,1,19,13,19,19.0,self,2
agent06b,1,16,33,16,16.0,self,3
agent06c,1,33,32,33,33.0,self,3
agent06d,1,32,3,32,32.0,self,2
agent06e,1,23,40,23,23.0,self,3
agent06f,1,26,24,26,26.0,self,2
agent070,1,8,7,8,8.0,self,2
agent071,1,40,25,40,40.0,self,3
agent072,1,32,11,32,32.0,self,3
agent073,1,42,41,42,42.0,self,1
agent074,1,35,3,35,35.0,self,2
agent075,1,10,14,10,10.0,self,3
agent076,1,21,24,21,21.0,self,1
agent077,1,28,34,28,28.0,self,1
agent078,1,40,21,40,40.0,self,2
agent079,1,6,19,6,6.0,self,1
agent07a,1,12,44,12,12.0,self,3
agent07b,1,33,41,33,33.0,self,3
agent07c,1,34,34,34,34.0,self,1
agent07d,1,42,27,42,42.0,self,3
agent07e,1,27,13,27,27.0,self,3
agent07f,1,26,23,26,26.0,self,2
agent080,1,38,34,38,38.0,self,1
agent081,1,38,42,38,38.0,self,3
agent082,1,30,18,3,3.0,norm,26
agent083,1,21,4,21,21.0,self,1
agent084,1,25,37,25,25.0,self,2
agent085,1,25,4,25,25.0,self,1
agent086,1,42,4,42,42.0,self,1
agent087,1,29,37,29,29.0,self,1
agent088,1,15,28,15,15.0,self,1
agent089,1,22,32,22,22.0,self,2
agent08a,1,15,39,15,15.0,self,1
agent08b,1,37,44,37,37.0,self,3
agent08c,1,43,19,43,43.0,self,3
agent08d,1,44,27,44,44.0,self,2
agent08e,1,19,27,19,19.0,self,1
agent08f,1,26,30,26,26.0,self,1
agent090,1,19,23,23,23.0,norm,5
agent091,1,13,13,13,13.0,self,2
agent092,1,8,12,8,8.0,self,1
agent093,1,25,22,25,25.0,self,2
agent094,1,15,16,15,15.0,self,2
agent095,1,12,43,12,12.0,self,2
agent096,1,32,21,32,32.0,self,2
agent097,1,25,44,25,25.0,self,3
agent098,1,6,43,6,6.0,self,1
agent099,1,24,24,23,23.0,norm,0
agent09a,1,23,20,23,23.0,self,2
agent09b,1,17,24,17,17.0,self,1
agent09c,1,33,32,33,33.0,self,3
agent09d,1,13,36,13,13.0,self,2
agent09e,1,16,23,23,23.0,norm,9
agent09f,1,7,16,7,7.0,self,3
agent0a0,1,43,10,43,43.0,self,3
agent0a1,1,24,29,24,24.0,self,1
agent0a2,1,20,33,20,20.0,self,3
agent0a3,1,38,44,38,38.0,self,2
agent0a4,1,29,24,29,29.0,self,3
agent0a5,1,12,28,12,12.0,self,3
agent0a6,1,35,13,35,35.0,self,1
agent0a7,1,37,16,37,37.0,self,3
agent0a8,1,44,32,44,44.0,self,2
agent0a9,1,26,16,26,26.0,self,3
agent0aa,1,33,29,33,33.0,self,2
agent0ab,1,19,18,19,19.0,self,3
agent0ac,1,34,42,34,34.0,self,1
agent0ad,1,44,41,44,44.0,self,3
agent0ae,1,41,35,41,41.0,self,1
agent0af,1,20,44,20,20.0,self,1
agent0b0,1,29,19,29,29.0,self,1
agent0b1,1,43,27,43,43.0,self,2
agent0b2,1,27,22,27,27.0,self,3
agent0b3,1,42,9,42,42.0,self,2
agent0b4,1,41,3,41,41.0,self,1
agent0b5,1,24,20,24,24.0,self,1
agent0b6,1,15,30,15,15.0,self,1
agent0b7,1,43,12,43,43.0,self,2
agent0b8,1,37,44,37,37.0,self,1
agent0b9,1,39,23,39,39.0,self,3
agent0ba,1,11,28,11,11.0,self,3
agent0bb,1,35,23,35,35.0,self,2
agent0bc,1,24,4,24,24.0,self,2
agent0bd,1,21,19,21,21.0,self,3
agent0be,1,17,9,17,17.0,self,1
agent0bf,1,7,17,7,7.0,self,2
agent0c0,1,24,36,23,23.0,norm,2
agent0c1,1,9,38,9,9.0,self,1
agent0c2,1,22,25,23,23.0,norm,4
agent0c3,1,19,28,19,19.0,self,3
agent0c4,1,16,9,16,16.0,self,1
agent0c5,1,3,23,3,3.0,self,1
agent0c6,1,29,42,29,29.0,self,2
agent0c7,1,25,19,23,23.0,norm,0
agent000,2,39,3,3,3.0,norm,35
agent001,2,17,3,3,3.0,norm,13
agent002,2,15,4,4,4.0,norm,10
