agent,iteration,layer1,layer2,decision, payoff, norm or self
agent000,0,26,0,26,26.0,self
agent001,0,33,0,33,33.0,self
agent002,0,5,0,5,5.0,self
agent003,0,23,0,23,23.0,self
agent004,0,23,0,23,23.0,self
agent005,0,18,0,18,18.0,self
agent006,0,5,0,5,5.0,self
agent007,0,29,0,29,29.0,self
agent008,0,11,0,11,11.0,self
agent009,0,38,0,38,38.0,self
agent00a,0,31,0,31,31.0,self
agent00b,0,39,0,39,39.0,self
agent00c,0,6,0,6,6.0,self
agent00d,0,20,0,20,20.0,self
agent00e,0,32,0,32,32.0,self
agent00f,0,19,0,19,19.0,self
agent010,0,39,0,39,39.0,self
agent011,0,24,0,24,24.0,self
agent012,0,13,0,13,13.0,self
agent013,0,33,0,33,33.0,self
agent014,0,10,0,10,10.0,self
agent015,0,28,0,28,28.0,self
agent016,0,38,0,38,38.0,self
agent017,0,5,0,5,5.0,self
agent018,0,18,0,18,18.0,self
agent019,0,27,0,27,27.0,self
agent01a,0,18,0,18,18.0,self
agent01b,0,25,0,25,25.0,self
agent01c,0,23,0,23,23.0,self
agent01d,0,29,0,29,29.0,self
agent01e,0,19,0,19,19.0,self
agent01f,0,10,0,10,10.0,self
agent020,0,16,0,16,16.0,self
agent021,0,9,0,9,9.0,self
agent022,0,15,0,15,15.0,self
agent023,0,33,0,33,33.0,self
agent024,0,13,0,13,13.0,self
agent025,0,2,0,2,2.0,self
agent026,0,6,0,6,6.0,self
agent027,0,16,0,16,16.0,self
agent028,0,27,0,27,27.0,self
agent029,0,41,0,41,41.0,self
agent02a,0,4,0,4,4.0,self
agent02b,0,25,0,25,25.0,self
agent02c,0,22,0,22,22.0,self
agent02d,0,29,0,29,29.0,self
agent02e,0,19,0,19,19.0,self
agent02f,0,20,0,20,20.0,self
agent030,0,36,0,36,36.0,self
agent031,0,25,0,25,25.0,self
agent032,0,26,0,26,26.0,self
agent033,0,15,0,15,15.0,self
agent034,0,3,0,3,3.0,self
agent035,0,19,0,19,19.0,self
agent036,0,20,0,20,20.0,self
agent037,0,33,0,33,33.0,self
agent038,0,21,0,21,21.0,self
agent039,0,36,0,36,36.0,self
agent03a,0,32,0,32,32.0,self
agent03b,0,8,0,8,8.0,self
agent03c,0,25,0,25,25.0,self
agent03d,0,40,0,40,40.0,self
agent03e,0,8,0,8,8.0,self
agent03f,0,26,0,26,26.0,self
agent040,0,17,0,17,17.0,self
agent041,0,34,0,34,34.0,self
agent042,0,14,0,14,14.0,self
agent043,0,18,0,18,18.0,self
agent044,0,6,0,6,6.0,self
agent045,0,40,0,40,40.0,self
agent046,0,34,0,34,34.0,self
agent047,0,17,0,17,17.0,self
agent048,0,19,0,19,19.0,self
agent049,0,37,0,37,37.0,self
agent04a,0,8,0,8,8.0,self
agent04b,0,22,0,22,22.0,self
agent04c,0,8,0,8,8.0,self
agent04d,0,27,0,27,27.0,self
agent04e,0,37,0,37,37.0,self
agent04f,0,3,0,3,3.0,self
agent050,0,35,0,35,35.0,self
agent051,0,33,0,33,33.0,self
agent052,0,35,0,35,35.0,self
agent053,0,37,0,37,37.0,self
agent054,0,10,0,10,10.0,self
agent055,0,9,0,9,9.0,self
agent056,0,2,0,2,2.0,self
agent057,0,16,0,16,16.0,self
agent058,0,39,0,39,39.0,self
agent059,0,14,0,14,14.0,self
agent05a,0,19,0,19,19.0,self
agent05b,0,26,0,26,26.0,self
agent05c,0,23,0,23,23.0,self
agent05d,0,5,0,5,5.0,self
agent05e,0,25,0,25,25.0,self
agent05f,0,15,0,15,15.0,self
agent060,0,39,0,39,39.0,self
agent061,0,16,0,16,16.0,self
agent062,0,15,0,15,15.0,self
agent063,0,13,0,13,13.0,self
agent064,0,27,0,27,27.0,self
agent065,0,33,0,33,33.0,self
agent066,0,19,0,19,19.0,self
agent067,0,15,0,15,15.0,self
agent068,0,36,0,36,36.0,self
agent069,0,18,0,18,18.0,self
agent06a,0,7,0,7,7.0,self
agent06b,0,25,0,25,25.0,self
agent06c,0,16,0,16,16.0,self
agent06d,0,26,0,26,26.0,self
agent06e,0,40,0,40,40.0,self
agent06f,0,36,0,36,36.0,self
agent070,0,5,0,5,5.0,self
agent071,0,37,0,37,37.0,self
agent072,0,5,0,5,5.0,self
agent073,0,34,0,34,34.0,self
agent074,0,40,0,40,40.0,self
agent075,0,12,0,12,12.0,self
agent076,0,37,0,37,37.0,self
agent077,0,32,0,32,32.0,self
agent078,0,20,0,20,20.0,self
agent079,0,23,0,23,23.0,self
agent07a,0,41,0,41,41.0,self
agent07b,0,22,0,22,22.0,self
agent07c,0,16,0,16,16.0,self
agent07d,0,14,0,14,14.0,self
agent07e,0,15,0,15,15.0,self
agent07f,0,7,0,7,7.0,self
agent080,0,16,0,16,16.0,self
agent081,0,30,0,30,30.0,self
agent082,0,38,0,38,38.0,self
agent083,0,5,0,5,5.0,self
agent084,0,23,0,23,23.0,self
agent085,0,9,0,9,9.0,self
agent086,0,23,0,23,23.0,self
agent087,0,31,0,31,31.0,self
agent088,0,21,0,21,21.0,self
agent089,0,38,0,38,38.0,self
agent08a,0,29,0,29,29.0,self
agent08b,0,19,0,19,19.0,self
agent08c,0,14,0,14,14.0,self
agent08d,0,18,0,18,18.0,self
agent08e,0,25,0,25,25.0,self
agent08f,0,20,0,20,20.0,self
agent090,0,30,0,30,30.0,self
