iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, THRES
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,14,16,16.0,norm,20
agent001,0,15,27,15,15.0,self,1
agent002,0,13,3,13,13.0,self,1
agent003,0,38,10,38,38.0,self,1
agent004,0,15,29,15,15.0,self,2
agent005,0,26,29,26,26.0,self,2
agent006,0,23,2,23,23.0,self,2
agent007,0,3,5,3,3.0,self,1
agent008,0,42,10,42,42.0,self,2
agent009,0,31,33,31,31.0,self,1
agent00a,0,18,20,18,18.0,self,1
agent00b,0,33,27,33,33.0,self,3
agent00c,0,32,18,32,32.0,self,1
agent00d,0,12,37,12,12.0,self,2
agent00e,0,33,20,33,33.0,self,1
agent00f,0,14,39,14,14.0,self,3
agent010,0,39,36,39,39.0,self,2
agent011,0,22,15,22,22.0,self,2
agent012,0,12,41,12,12.0,self,1
agent013,0,34,17,34,34.0,self,3
agent014,0,15,3,15,15.0,self,3
agent015,0,17,40,17,17.0,self,1
agent016,0,30,40,30,30.0,self,1
agent017,0,36,16,36,36.0,self,2
agent018,0,18,27,18,18.0,self,3
agent019,0,33,12,33,33.0,self,3
agent01a,0,12,38,12,12.0,self,1
agent01b,0,15,18,15,15.0,self,1
agent01c,0,10,28,10,10.0,self,3
agent01d,0,35,5,35,35.0,self,3
agent01e,0,18,31,18,18.0,self,1
agent01f,0,41,17,41,41.0,self,1
agent020,0,42,31,42,42.0,self,3
agent021,0,5,25,5,5.0,self,2
agent022,0,23,20,23,23.0,self,3
agent023,0,15,26,15,15.0,self,1
agent024,0,22,40,22,22.0,self,1
agent025,0,37,21,37,37.0,self,3
agent026,0,40,33,40,40.0,self,3
agent027,0,7,16,7,7.0,self,3
agent028,0,29,34,29,29.0,self,1
agent029,0,27,19,27,27.0,self,3
agent02a,0,29,37,29,29.0,self,2
agent02b,0,7,29,7,7.0,self,3
agent02c,0,39,14,39,39.0,self,2
agent02d,0,28,36,28,28.0,self,1
agent02e,0,8,19,8,8.0,self,1
agent02f,0,16,4,16,16.0,self,1
agent030,0,19,25,19,19.0,self,1
agent031,0,21,4,21,21.0,self,3
agent032,0,39,19,39,39.0,self,1
agent033,0,8,38,8,8.0,self,1
agent034,0,22,17,22,22.0,self,1
agent035,0,7,38,7,7.0,self,2
agent036,0,21,40,21,21.0,self,3
agent037,0,3,24,3,3.0,self,1
agent038,0,17,15,17,17.0,self,2
agent039,0,7,20,7,7.0,self,1
agent03a,0,27,28,27,27.0,self,3
agent03b,0,42,37,42,42.0,self,2
agent03c,0,10,12,10,10.0,self,1
agent03d,0,7,8,7,7.0,self,1
agent03e,0,10,41,10,10.0,self,3
agent03f,0,10,43,10,10.0,self,2
agent040,0,9,37,9,9.0,self,1
agent041,0,28,7,28,28.0,self,3
agent042,0,28,9,28,28.0,self,3
agent043,0,30,7,30,30.0,self,2
agent044,0,32,16,32,32.0,self,2
agent045,0,22,9,22,22.0,self,1
agent046,0,12,39,12,12.0,self,2
agent047,0,4,21,4,4.0,self,2
agent048,0,41,24,41,41.0,self,1
agent049,0,26,27,26,26.0,self,2
agent04a,0,27,25,27,27.0,self,3
agent04b,0,37,35,37,37.0,self,2
agent04c,0,31,33,31,31.0,self,1
agent04d,0,25,28,25,25.0,self,3
agent04e,0,41,28,41,41.0,self,3
agent04f,0,37,40,37,37.0,self,2
agent050,0,7,3,7,7.0,self,1
agent051,0,31,16,31,31.0,self,1
agent052,0,25,7,25,25.0,self,2
agent053,0,20,33,20,20.0,self,2
agent054,0,28,22,28,28.0,self,3
agent055,0,40,8,40,40.0,self,2
agent056,0,16,18,16,16.0,self,2
agent057,0,11,33,11,11.0,self,1
agent058,0,34,31,34,34.0,self,2
agent059,0,43,35,43,43.0,self,3
agent05a,0,31,34,31,31.0,self,3
agent05b,0,37,25,37,37.0,self,1
agent05c,0,15,8,15,15.0,self,3
agent05d,0,13,39,13,13.0,self,3
agent05e,0,16,40,16,16.0,self,3
agent05f,0,3,37,3,3.0,self,1
agent060,0,21,23,21,21.0,self,2
agent061,0,27,31,27,27.0,self,1
agent062,0,28,8,28,28.0,self,1
agent063,0,3,13,3,3.0,self,1
agent064,0,37,28,37,37.0,self,1
agent065,0,25,39,25,25.0,self,3
agent066,0,23,34,23,23.0,self,1
agent067,0,20,4,20,20.0,self,3
agent068,0,38,27,38,38.0,self,3
agent069,0,23,5,23,23.0,self,1
agent06a,0,17,21,17,17.0,self,2
agent06b,0,13,17,13,13.0,self,3
agent06c,0,30,6,30,30.0,self,3
agent06d,0,30,30,30,30.0,self,2
agent06e,0,20,17,20,20.0,self,3
agent06f,0,24,28,24,24.0,self,2
agent070,0,6,33,6,6.0,self,2
agent071,0,37,7,37,37.0,self,3
agent072,0,29,19,29,29.0,self,3
agent073,0,41,27,41,41.0,self,1
agent074,0,33,29,33,33.0,self,2
agent075,0,7,22,7,7.0,self,3
agent076,0,20,9,20,20.0,self,1
agent077,0,27,29,27,27.0,self,1
agent078,0,38,37,38,38.0,self,2
agent079,0,5,12,5,5.0,self,1
agent07a,0,9,15,9,9.0,self,3
agent07b,0,30,21,30,30.0,self,3
agent07c,0,33,10,33,33.0,self,1
agent07d,0,39,38,39,39.0,self,3
agent07e,0,24,2,24,24.0,self,3
agent07f,0,24,26,24,24.0,self,2
agent080,0,37,37,37,37.0,self,1
agent081,0,35,41,35,35.0,self,3
agent082,0,29,3,29,29.0,self,1
agent083,0,20,37,20,20.0,self,1
agent084,0,23,22,23,23.0,self,2
agent085,0,24,14,24,24.0,self,1
agent086,0,41,7,41,41.0,self,1
agent087,0,28,17,28,28.0,self,1
agent088,0,14,11,14,14.0,self,1
agent089,0,20,7,20,20.0,self,2
agent08a,0,14,31,14,14.0,self,1
agent08b,0,34,18,34,34.0,self,3
agent08c,0,40,40,40,40.0,self,3
agent08d,0,42,17,42,42.0,self,2
agent08e,0,18,17,18,18.0,self,1
agent08f,0,25,18,25,25.0,self,1
agent090,0,18,30,18,18.0,self,1
agent091,0,11,15,11,11.0,self,2
agent092,0,7,16,7,7.0,self,1
agent093,0,23,21,23,23.0,self,2
agent094,0,13,28,13,13.0,self,2
agent095,0,10,15,10,10.0,self,2
agent096,0,30,37,30,30.0,self,2
agent097,0,22,22,22,22.0,self,3
agent098,0,5,4,5,5.0,self,1
agent099,0,23,35,23,23.0,self,1
agent09a,0,21,13,21,21.0,self,2
agent09b,0,16,22,16,16.0,self,1
agent09c,0,30,31,30,30.0,self,3
agent09d,0,11,34,11,11.0,self,2
agent09e,0,14,14,14,14.0,self,2
agent09f,0,4,23,4,4.0,self,3
agent0a0,0,40,37,40,40.0,self,3
agent0a1,0,23,37,23,23.0,self,1
agent0a2,0,17,27,17,17.0,self,3
agent0a3,0,36,41,36,36.0,self,2
agent0a4,0,26,40,26,26.0,self,3
agent0a5,0,9,7,9,9.0,self,3
agent0a6,0,34,13,34,34.0,self,1
agent0a7,0,34,40,34,34.0,self,3
agent0a8,0,42,10,42,42.0,self,2
agent0a9,0,23,28,23,23.0,self,3
agent0aa,0,31,13,31,31.0,self,2
agent0ab,0,16,14,16,16.0,self,3
agent0ac,0,33,39,33,33.0,self,1
agent0ad,0,41,18,41,41.0,self,3
agent0ae,0,40,21,40,40.0,self,1
agent0af,0,19,27,19,19.0,self,1
agent0b0,0,28,23,28,28.0,self,1
