iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, MAJ3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,22,37,37.0,self,1
agent001,0,15,24,15,15.0,self,1
agent002,0,13,33,13,13.0,self,1
agent003,0,38,15,38,38.0,self,1
agent004,0,15,36,15,15.0,self,2
agent005,0,26,23,26,26.0,self,2
agent006,0,23,2,23,23.0,self,2
agent007,0,3,23,3,3.0,self,1
agent008,0,42,16,42,42.0,self,2
agent009,0,31,19,31,31.0,self,1
agent00a,0,18,33,18,18.0,self,1
agent00b,0,33,20,33,33.0,self,3
agent00c,0,32,41,32,32.0,self,1
agent00d,0,12,21,12,12.0,self,2
agent00e,0,33,8,33,33.0,self,1
agent00f,0,14,41,14,14.0,self,3
agent010,0,39,8,39,39.0,self,2
agent011,0,22,40,22,22.0,self,2
agent012,0,12,22,12,12.0,self,1
agent013,0,34,7,34,34.0,self,3
agent014,0,15,16,15,15.0,self,3
agent015,0,17,29,17,17.0,self,1
agent016,0,30,30,30,30.0,self,1
agent017,0,36,7,36,36.0,self,2
agent018,0,18,24,18,18.0,self,3
agent019,0,33,33,33,33.0,self,3
agent01a,0,12,24,12,12.0,self,1
agent01b,0,15,26,15,15.0,self,1
agent01c,0,10,15,10,10.0,self,3
agent01d,0,35,42,35,35.0,self,3
agent01e,0,18,14,18,18.0,self,1
agent01f,0,41,13,41,41.0,self,1
agent020,0,42,20,42,42.0,self,3
agent021,0,5,31,5,5.0,self,2
agent022,0,23,18,23,23.0,self,3
agent023,0,15,14,15,15.0,self,1
agent024,0,22,35,22,22.0,self,1
agent025,0,37,12,37,37.0,self,3
agent026,0,40,20,40,40.0,self,3
agent027,0,7,15,7,7.0,self,3
agent028,0,29,28,29,29.0,self,1
agent029,0,27,37,27,27.0,self,3
agent02a,0,29,42,29,29.0,self,2
agent02b,0,7,23,7,7.0,self,3
agent02c,0,39,9,39,39.0,self,2
agent02d,0,28,16,28,28.0,self,1
agent02e,0,8,40,8,8.0,self,1
agent02f,0,16,15,23,23.0,norm,8
agent030,0,19,8,19,19.0,self,1
agent031,0,21,16,21,21.0,self,3
agent032,0,39,19,39,39.0,self,1
agent033,0,8,7,8,8.0,self,1
agent034,0,22,10,22,22.0,self,1
agent035,0,7,42,7,7.0,self,2
agent036,0,21,39,21,21.0,self,3
agent037,0,3,21,3,3.0,self,1
agent038,0,17,20,17,17.0,self,2
agent039,0,7,13,7,7.0,self,1
agent03a,0,27,39,27,27.0,self,3
agent03b,0,42,37,41,41.0,norm,1
agent03c,0,10,34,10,10.0,self,1
agent03d,0,7,20,7,7.0,self,1
agent03e,0,10,26,10,10.0,self,3
agent03f,0,10,7,10,10.0,self,2
agent040,0,9,31,23,23.0,norm,15
agent041,0,28,19,28,28.0,self,3
agent042,0,28,39,28,28.0,self,3
agent043,0,30,7,30,30.0,self,2
agent044,0,32,15,32,32.0,self,2
agent045,0,22,5,22,22.0,self,1
agent046,0,12,5,12,12.0,self,2
agent047,0,4,24,4,4.0,self,2
agent048,0,41,20,41,41.0,self,1
agent049,0,26,41,26,26.0,self,2
agent04a,0,27,34,27,27.0,self,3
agent04b,0,37,11,37,37.0,self,2
agent04c,0,31,11,31,31.0,self,1
agent04d,0,25,36,25,25.0,self,3
agent04e,0,41,11,41,41.0,self,3
agent04f,0,37,36,37,37.0,self,2
agent050,0,7,28,7,7.0,self,1
agent051,0,31,12,31,31.0,self,1
agent052,0,25,37,25,25.0,self,2
agent053,0,20,24,20,20.0,self,2
agent054,0,28,30,28,28.0,self,3
agent055,0,40,12,40,40.0,self,2
agent056,0,16,21,16,16.0,self,2
agent057,0,11,16,11,11.0,self,1
agent058,0,34,8,34,34.0,self,2
agent059,0,43,6,43,43.0,self,3
agent05a,0,31,36,31,31.0,self,3
agent05b,0,37,42,37,37.0,self,1
agent05c,0,15,27,15,15.0,self,3
agent05d,0,13,38,13,13.0,self,3
agent05e,0,16,21,16,16.0,self,3
agent05f,0,3,7,3,3.0,self,1
agent060,0,21,23,21,21.0,self,2
agent061,0,27,41,27,27.0,self,1
agent062,0,28,19,28,28.0,self,1
agent063,0,3,22,3,3.0,self,1
agent064,0,37,13,37,37.0,self,1
agent065,0,25,10,25,25.0,self,3
agent066,0,23,3,23,23.0,self,1
agent067,0,20,21,20,20.0,self,3
agent068,0,38,37,38,38.0,self,3
agent069,0,23,39,23,23.0,self,1
agent06a,0,17,41,17,17.0,self,2
agent06b,0,13,18,13,13.0,self,3
agent06c,0,30,21,30,30.0,self,3
agent06d,0,30,38,30,30.0,self,2
agent06e,0,20,21,20,20.0,self,3
agent06f,0,24,18,24,24.0,self,2
agent070,0,6,23,6,6.0,self,2
agent071,0,37,15,37,37.0,self,3
agent072,0,29,37,29,29.0,self,3
agent073,0,41,40,41,41.0,self,1
agent074,0,33,41,33,33.0,self,2
