iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, QUART
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,36,37,37.0,self,1
agent001,0,15,17,15,15.0,self,1
agent002,0,13,26,13,13.0,self,1
agent003,0,38,37,38,38.0,self,1
agent004,0,15,40,15,15.0,self,2
agent005,0,26,14,26,26.0,self,2
agent006,0,23,33,23,23.0,self,2
agent007,0,3,30,3,3.0,self,1
agent008,0,42,7,42,42.0,self,2
agent009,0,31,4,31,31.0,self,1
agent00a,0,18,9,18,18.0,self,1
agent00b,0,33,32,33,33.0,self,3
agent00c,0,32,7,32,32.0,self,1
agent00d,0,12,16,12,12.0,self,2
agent00e,0,33,23,33,33.0,self,1
agent00f,0,14,37,14,14.0,self,3
agent010,0,39,30,39,39.0,self,2
agent011,0,22,21,22,22.0,self,2
agent012,0,12,23,12,12.0,self,1
agent013,0,34,23,34,34.0,self,3
agent014,0,15,25,15,15.0,self,3
agent015,0,17,31,17,17.0,self,1
agent016,0,30,15,30,30.0,self,1
agent017,0,36,33,36,36.0,self,2
agent018,0,18,17,18,18.0,self,3
agent019,0,33,22,33,33.0,self,3
agent01a,0,12,41,12,12.0,self,1
agent01b,0,15,24,15,15.0,self,1
agent01c,0,10,11,10,10.0,self,3
agent01d,0,35,23,35,35.0,self,3
agent01e,0,18,41,18,18.0,self,1
agent01f,0,41,37,41,41.0,self,1
agent020,0,42,37,42,42.0,self,3
agent021,0,5,16,5,5.0,self,2
agent022,0,23,29,23,23.0,self,3
agent023,0,15,31,15,15.0,self,1
agent024,0,22,39,22,22.0,self,1
agent025,0,37,34,37,37.0,self,3
agent026,0,40,23,40,40.0,self,3
agent027,0,7,18,7,7.0,self,3
agent028,0,29,39,29,29.0,self,1
agent029,0,27,29,27,27.0,self,3
agent02a,0,29,8,29,29.0,self,2
agent02b,0,7,23,7,7.0,self,3
agent02c,0,39,3,39,39.0,self,2
agent02d,0,28,15,28,28.0,self,1
agent02e,0,8,36,8,8.0,self,1
agent02f,0,16,17,16,16.0,self,1
agent030,0,19,3,19,19.0,self,1
agent031,0,21,22,23,23.0,norm,5
agent032,0,39,15,39,39.0,self,1
agent033,0,8,28,8,8.0,self,1
agent034,0,22,43,22,22.0,self,1
agent035,0,7,14,7,7.0,self,2
agent036,0,21,28,21,21.0,self,3
agent037,0,3,22,3,3.0,self,1
agent038,0,17,10,17,17.0,self,2
agent039,0,7,23,7,7.0,self,1
agent03a,0,27,23,27,27.0,self,3
agent03b,0,42,41,42,42.0,self,2
agent03c,0,10,16,10,10.0,self,1
agent03d,0,7,27,7,7.0,self,1
agent03e,0,10,33,10,10.0,self,3
agent03f,0,10,21,10,10.0,self,2
agent040,0,9,7,9,9.0,self,1
agent041,0,28,24,28,28.0,self,3
agent042,0,28,18,28,28.0,self,3
agent043,0,30,39,30,30.0,self,2
agent044,0,32,16,32,32.0,self,2
agent045,0,22,13,22,22.0,self,1
agent046,0,12,23,12,12.0,self,2
agent047,0,4,33,4,4.0,self,2
agent048,0,41,39,41,41.0,self,1
agent049,0,26,43,26,26.0,self,2
agent04a,0,27,22,27,27.0,self,3
agent04b,0,37,14,37,37.0,self,2
agent04c,0,31,33,31,31.0,self,1
agent04d,0,25,22,25,25.0,self,3
agent04e,0,41,40,41,41.0,self,3
agent04f,0,37,7,37,37.0,self,2
agent050,0,7,33,7,7.0,self,1
agent051,0,31,27,31,31.0,self,1
agent052,0,25,12,25,25.0,self,2
agent053,0,20,22,20,20.0,self,2
agent054,0,28,21,28,28.0,self,3
agent055,0,40,27,40,40.0,self,2
agent056,0,16,3,16,16.0,self,2
agent057,0,11,18,11,11.0,self,1
agent058,0,34,31,34,34.0,self,2
agent059,0,43,41,43,43.0,self,3
agent05a,0,31,20,31,31.0,self,3
agent05b,0,37,15,37,37.0,self,1
agent05c,0,15,28,15,15.0,self,3
agent05d,0,13,5,13,13.0,self,3
agent05e,0,16,26,16,16.0,self,3
agent05f,0,3,23,3,3.0,self,1
agent060,0,21,38,21,21.0,self,2
agent061,0,27,24,27,27.0,self,1
agent062,0,28,23,28,28.0,self,1
agent063,0,3,25,3,3.0,self,1
agent064,0,37,40,37,37.0,self,1
agent065,0,25,3,25,25.0,self,3
agent066,0,23,40,23,23.0,self,1
agent067,0,20,3,20,20.0,self,3
agent068,0,38,28,38,38.0,self,3
agent069,0,23,9,23,23.0,self,1
agent06a,0,17,14,17,17.0,self,2
agent06b,0,13,9,13,13.0,self,3
agent06c,0,30,21,30,30.0,self,3
agent06d,0,30,37,30,30.0,self,2
agent06e,0,20,37,20,20.0,self,3
agent06f,0,24,28,24,24.0,self,2
agent070,0,6,41,6,6.0,self,2
agent071,0,37,41,37,37.0,self,3
agent072,0,29,20,29,29.0,self,3
agent073,0,41,30,41,41.0,self,1
