iteration, 300
pop_size, 200
LNK_strat, RND
L2agg_strat, RND
dec_strat, RAND3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,40,37,37.0,self,1
agent001,0,15,9,15,15.0,self,1
agent002,0,13,22,13,13.0,self,1
agent003,0,38,21,38,38.0,self,1
agent004,0,15,17,15,15.0,self,2
agent005,0,26,3,26,26.0,self,2
agent006,0,23,21,23,23.0,self,2
agent007,0,3,40,3,3.0,self,1
agent008,0,42,5,42,42.0,self,2
agent009,0,31,4,31,31.0,self,1
agent00a,0,18,22,18,18.0,self,1
agent00b,0,33,25,33,33.0,self,3
agent00c,0,32,5,32,32.0,self,1
agent00d,0,12,19,12,12.0,self,2
agent00e,0,33,23,33,33.0,self,1
agent00f,0,14,10,14,14.0,self,3
agent010,0,39,23,39,39.0,self,2
agent011,0,22,39,22,22.0,self,2
agent012,0,12,14,12,12.0,self,1
agent013,0,34,33,34,34.0,self,3
agent014,0,15,14,15,15.0,self,3
agent015,0,17,33,17,17.0,self,1
agent016,0,30,29,30,30.0,self,1
agent017,0,36,37,36,36.0,self,2
agent018,0,18,5,18,18.0,self,3
agent019,0,33,4,33,33.0,self,3
agent01a,0,12,31,12,12.0,self,1
agent01b,0,15,20,15,15.0,self,1
agent01c,0,10,27,10,10.0,self,3
agent01d,0,35,22,35,35.0,self,3
agent01e,0,18,41,18,18.0,self,1
agent01f,0,41,15,41,41.0,self,1
agent020,0,42,26,42,42.0,self,3
agent021,0,5,34,5,5.0,self,2
agent022,0,23,25,23,23.0,self,3
agent023,0,15,5,15,15.0,self,1
agent024,0,22,12,22,22.0,self,1
agent025,0,37,22,37,37.0,self,3
agent026,0,40,8,40,40.0,self,3
agent027,0,7,21,7,7.0,self,3
agent028,0,29,31,29,29.0,self,1
agent029,0,27,16,27,27.0,self,3
agent02a,0,29,8,29,29.0,self,2
agent02b,0,7,34,7,7.0,self,3
agent02c,0,39,18,39,39.0,self,2
agent02d,0,28,40,28,28.0,self,1
agent02e,0,8,19,8,8.0,self,1
agent02f,0,16,7,16,16.0,self,1
agent030,0,19,12,19,19.0,self,1
agent031,0,21,39,21,21.0,self,3
agent032,0,39,30,39,39.0,self,1
agent033,0,8,30,8,8.0,self,1
agent034,0,22,30,22,22.0,self,1
agent035,0,7,21,7,7.0,self,2
agent036,0,21,37,21,21.0,self,3
agent037,0,3,6,3,3.0,self,1
