iteration,300,,,,,,
pop_size,200,,,,,,
LNK_strat,PERFECT,,,,,,
L2agg_strat, RND,,,,,,
dec_strat, QUART,,,,,,
popname, pop1(3-8).csv,,,,,,
netname, net1.csv,,,,,,
COMMF,1,,,,,,
,,,,,,,
agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,16,37,37,self,1
agent001,0,15,40,15,15,self,1
agent002,0,13,30,13,13,self,1
agent003,0,38,27,38,38,self,1
agent004,0,15,12,15,15,self,2
agent005,0,26,37,26,26,self,2
agent006,0,23,7,23,23,self,2
agent007,0,3,39,3,3,self,1
agent008,0,42,40,42,42,self,2
agent009,0,31,7,31,31,self,1
agent00a,0,18,18,18,18,self,1
agent00b,0,33,25,33,33,self,3
agent00c,0,32,36,32,32,self,1
agent00d,0,12,16,12,12,self,2
agent00e,0,33,17,33,33,self,1
agent00f,0,14,12,14,14,self,3
agent010,0,39,14,39,39,self,2
agent011,0,22,18,22,22,self,2
agent012,0,12,14,12,12,self,1
agent013,0,34,17,34,34,self,3
agent014,0,15,33,15,15,self,3
agent015,0,17,13,17,17,self,1
agent016,0,30,28,30,30,self,1
agent017,0,36,7,36,36,self,2
agent018,0,18,37,18,18,self,3
agent019,0,33,16,33,33,self,3
agent01a,0,12,22,12,12,self,1
agent01b,0,15,18,15,15,self,1
agent01c,0,10,8,10,10,self,3
agent01d,0,35,28,35,35,self,3
agent01e,0,18,38,18,18,self,1
agent01f,0,41,17,41,41,self,1
agent020,0,42,30,42,42,self,3
agent021,0,5,30,5,5,self,2
agent022,0,23,33,23,23,self,3
agent023,0,15,26,15,15,self,1
agent024,0,22,12,22,22,self,1
agent025,0,37,22,37,37,self,3
agent026,0,40,20,40,40,self,3
agent027,0,7,22,7,7,self,3
agent028,0,29,21,29,29,self,1
agent029,0,27,38,27,27,self,3
agent02a,0,29,37,29,29,self,2
agent02b,0,7,42,7,7,self,3
agent02c,0,39,16,39,39,self,2
agent02d,0,28,19,28,28,self,1
agent02e,0,8,5,8,8,self,1
agent02f,0,16,4,16,16,self,1
agent030,0,19,25,19,19,self,1
agent031,0,21,22,21,21,self,3
agent032,0,39,23,39,39,self,1
agent033,0,8,18,8,8,self,1
agent034,0,22,29,22,22,self,1
agent035,0,7,15,7,7,self,2
agent036,0,21,35,21,21,self,3
agent037,0,3,17,3,3,self,1
agent038,0,17,22,17,17,self,2
agent039,0,7,41,7,7,self,1
agent03a,0,27,33,27,27,self,3
agent03b,0,42,30,42,42,self,2
agent03c,0,10,7,10,10,self,1
agent03d,0,7,13,7,7,self,1
agent03e,0,10,11,10,10,self,3
agent03f,0,10,34,10,10,self,2
agent040,0,9,15,9,9,self,1
agent041,0,28,35,28,28,self,3
agent042,0,28,42,28,28,self,3
agent043,0,30,34,30,30,self,2
agent044,0,32,29,32,32,self,2
agent045,0,22,9,22,22,self,1
agent046,0,12,25,12,12,self,2
agent047,0,4,30,4,4,self,2
agent048,0,41,30,41,41,self,1
agent049,0,26,33,26,26,self,2
agent04a,0,27,14,27,27,self,3
agent04b,0,37,29,37,37,self,2
agent04c,0,31,20,31,31,self,1
agent04d,0,25,21,25,25,self,3
agent04e,0,41,22,41,41,self,3
agent04f,0,37,24,37,37,self,2
agent050,0,7,25,7,7,self,1
agent051,0,31,22,31,31,self,1
agent052,0,25,22,25,25,self,2
agent053,0,20,9,20,20,self,2
agent054,0,28,36,28,28,self,3
agent055,0,40,38,40,40,self,2
agent056,0,16,7,16,16,self,2
agent057,0,11,26,11,11,self,1
agent058,0,34,20,34,34,self,2
agent059,0,43,10,43,43,self,3
agent05a,0,31,9,31,31,self,3
agent05b,0,37,42,37,37,self,1
agent05c,0,15,42,15,15,self,3
agent05d,0,13,24,33,33,norm,23
agent05e,0,16,17,16,16,self,3
agent05f,0,3,23,3,3,self,1
agent060,0,21,40,21,21,self,2
agent061,0,27,37,27,27,self,1
agent062,0,28,37,28,28,self,1
agent063,0,3,7,3,3,self,1
agent064,0,37,30,37,37,self,1
agent065,0,25,7,25,25,self,3
agent066,0,23,42,23,23,self,1
agent067,0,20,13,20,20,self,3
agent068,0,38,41,38,38,self,3
agent069,0,23,39,23,23,self,1
agent06a,0,17,8,17,17,self,2
agent06b,0,13,15,13,13,self,3
agent06c,0,30,24,30,30,self,3
agent06d,0,30,40,30,30,self,2
agent06e,0,20,16,20,20,self,3
agent06f,0,24,19,24,24,self,2
agent070,0,6,39,6,6,self,2
agent071,0,37,30,37,37,self,3
agent072,0,29,37,29,29,self,3
agent073,0,41,28,41,41,self,1
agent074,0,33,36,33,33,self,2
agent075,0,7,14,7,7,self,3
agent076,0,20,9,20,20,self,1
agent077,0,27,8,27,27,self,1
agent078,0,38,11,38,38,self,2
agent079,0,5,33,5,5,self,1
agent07a,0,9,10,9,9,self,3
agent07b,0,30,16,30,30,self,3
agent07c,0,33,27,33,33,self,1
agent07d,0,39,22,39,39,self,3
agent07e,0,24,18,24,24,self,3
agent07f,0,24,11,24,24,self,2
agent080,0,37,37,37,37,self,1
agent081,0,35,24,35,35,self,3
agent082,0,29,33,29,29,self,1
agent083,0,20,40,20,20,self,1
agent084,0,23,43,23,23,self,2
agent085,0,24,37,24,24,self,1
agent086,0,41,13,41,41,self,1
agent087,0,28,19,28,28,self,1
agent088,0,14,42,14,14,self,1
agent089,0,20,25,20,20,self,2
agent08a,0,14,16,14,14,self,1
agent08b,0,34,39,34,34,self,3
agent08c,0,40,38,40,40,self,3
agent08d,0,42,22,42,42,self,2
agent08e,0,18,30,18,18,self,1
agent08f,0,25,42,25,25,self,1
agent090,0,18,20,18,18,self,1
agent091,0,11,40,11,11,self,2
agent092,0,7,21,7,7,self,1
agent093,0,23,4,23,23,self,2
agent094,0,13,25,13,13,self,2
agent095,0,10,37,10,10,self,2
agent096,0,30,31,30,30,self,2
agent097,0,22,7,22,22,self,3
agent098,0,5,10,5,5,self,1
agent099,0,23,40,23,23,self,1
agent09a,0,21,16,21,21,self,2
agent09b,0,16,16,16,16,self,1
agent09c,0,30,20,30,30,self,3
agent09d,0,11,20,11,11,self,2
agent09e,0,14,23,14,14,self,2
agent09f,0,4,22,4,4,self,3
agent0a0,0,40,30,40,40,self,3
agent0a1,0,23,21,23,23,self,1
agent0a2,0,17,7,17,17,self,3
agent0a3,0,36,18,36,36,self,2
agent0a4,0,26,15,26,26,self,3
agent0a5,0,9,30,9,9,self,3
agent0a6,0,34,5,34,34,self,1
agent0a7,0,34,20,34,34,self,3
agent0a8,0,42,36,42,42,self,2
agent0a9,0,23,11,23,23,self,3
agent0aa,0,31,15,31,31,self,2
agent0ab,0,16,34,16,16,self,3
agent0ac,0,33,18,33,33,self,1
agent0ad,0,41,18,41,41,self,3
agent0ae,0,40,18,40,40,self,1
agent0af,0,19,7,19,19,self,1
agent0b0,0,28,3,28,28,self,1
agent0b1,0,41,39,41,41,self,2
agent0b2,0,24,37,24,24,self,3
agent0b3,0,40,27,40,40,self,2
agent0b4,0,40,7,40,40,self,1
agent0b5,0,23,35,23,23,self,1
agent0b6,0,14,16,14,14,self,1
agent0b7,0,41,16,41,41,self,2
agent0b8,0,36,12,36,36,self,1
agent0b9,0,36,2,36,36,self,3
agent0ba,0,8,41,8,8,self,3
agent0bb,0,33,33,33,33,self,2
agent0bc,0,22,10,22,22,self,2
agent0bd,0,18,31,18,18,self,3
agent0be,0,16,2,16,16,self,1
agent0bf,0,5,40,5,5,self,2
agent0c0,0,21,18,21,21,self,3
agent0c1,0,8,4,8,8,self,1
agent0c2,0,19,13,19,19,self,3
agent0c3,0,16,8,16,16,self,3
agent0c4,0,15,23,15,15,self,1
agent0c5,0,2,42,2,2,self,1
agent0c6,0,27,6,27,27,self,2
agent0c7,0,3,40,16,16,norm,15
agent000,1,38,43,38,38,self,1
agent001,1,16,35,16,16,self,1
agent002,1,14,20,14,14,self,1
agent003,1,39,12,39,39,self,1
agent004,1,17,23,17,17,self,2
agent005,1,28,23,28,28,self,2
agent006,1,25,42,25,25,self,2
agent007,1,4,32,4,4,self,1
agent008,1,44,41,42,42,norm,0
agent009,1,32,25,32,32,self,1
agent00a,1,19,32,19,19,self,1
agent00b,1,36,22,36,36,self,3
agent00c,1,33,26,33,33,self,1
agent00d,1,14,9,14,14,self,2
agent00e,1,34,6,34,34,self,1
agent00f,1,17,31,17,17,self,3
agent010,1,41,22,41,41,self,2
agent011,1,24,20,24,24,self,2
agent012,1,13,31,13,13,self,1
agent013,1,37,19,37,37,self,3
agent014,1,18,16,18,18,self,3
agent015,1,18,42,18,18,self,1
agent016,1,31,33,31,31,self,1
agent017,1,38,38,38,38,self,2
agent018,1,21,16,21,21,self,3
agent019,1,36,21,36,36,self,3
agent01a,1,13,15,13,13,self,1
agent01b,1,16,24,16,16,self,1
agent01c,1,13,17,13,13,self,3
agent01d,1,38,28,38,38,self,3
agent01e,1,19,42,19,19,self,1
agent01f,1,42,46,42,42,self,1
agent020,1,45,24,45,45,self,3
agent021,1,7,27,7,7,self,2
agent022,1,26,22,26,26,self,3
agent023,1,16,25,16,16,self,1
agent024,1,23,40,23,23,self,1
agent025,1,40,29,40,40,self,3
agent026,1,43,34,43,43,self,3
agent027,1,10,29,10,10,self,3
agent028,1,30,16,30,30,self,1
agent029,1,30,24,30,30,self,3
agent02a,1,31,15,31,31,self,2
agent02b,1,10,23,10,10,self,3
agent02c,1,41,23,41,41,self,2
agent02d,1,29,14,29,29,self,1
agent02e,1,9,8,9,9,self,1
agent02f,1,17,24,17,17,self,1
agent030,1,20,38,20,20,self,1
