iteration, occupied land ratio, profit factor
0,0.1168,1.0
1,0.126375,1.0
2,0.13595,1.0
3,0.145525,1.0
4,0.1551,1.0
5,0.164675,1.0
6,0.17425,1.0
7,0.183825,1.0
8,0.1934,1.0
9,0.202975,1.0
10,0.21255,1.0
11,0.222125,1.0
12,0.2317,1.0
13,0.241275,1.0
14,0.25085,1.0
15,0.260425,1.0
16,0.27,1.0
17,0.279575,1.0
18,0.28915,1.0
19,0.298725,1.0
20,0.3083,1.0
21,0.317875,1.0
22,0.32745,1.0
23,0.337025,1.0
24,0.3466,1.0
25,0.356175,1.0
26,0.36575,1.0
27,0.375325,1.0
28,0.3849,1.0
29,0.394475,1.0
30,0.40405,1.0
31,0.413625,1.0
32,0.4232,1.0
33,0.432775,1.0
34,0.44235,1.0
35,0.451925,1.0
36,0.4615,1.0
37,0.471075,1.0
38,0.48065,1.0
39,0.490225,1.0
40,0.4998,1.0
41,0.509375,1.0
42,0.51895,1.0
43,0.528525,1.0
44,0.5381,1.0
45,0.547675,1.0
46,0.55725,1.0
47,0.566825,1.0
48,0.5764,1.0
49,0.585975,1.0
50,0.59555,1.0
51,0.605125,1.0
52,0.6147,1.0
53,0.624275,1.0
54,0.63385,1.0
55,0.643425,1.0
56,0.653,1.0
57,0.662575,1.0
58,0.67215,1.0
59,0.681725,1.0
60,0.6913,1.0
61,0.700875,1.0
62,0.71045,1.0
63,0.720025,1.0
64,0.7296,1.0
65,0.739175,1.0
66,0.74875,1.0
67,0.758325,1.0
68,0.7679,1.0
69,0.777475,1.0
70,0.78705,1.0
71,0.796625,1.0
72,0.8062,0.9689999999999994
73,0.810775,0.9461250000000003
74,0.81535,0.9232499999999995
75,0.819925,0.9003750000000004
76,0.8245,0.8774999999999995
77,0.829075,0.8546250000000004
78,0.83365,0.8317499999999995
79,0.838225,0.8088750000000005
80,0.8428,0.7859999999999996
81,0.847375,0.7631250000000005
82,0.85195,0.7402499999999996
83,0.856525,0.7173750000000005
84,0.8611,0.6944999999999997
85,0.865675,0.6716250000000006
86,0.869925,0.6503750000000004
87,0.873025,0.6348750000000001
88,0.876125,0.6193749999999998
89,0.879225,0.6038749999999995
90,0.882325,0.5883750000000001
91,0.885425,0.5728749999999998
92,0.888525,0.5573750000000004
93,0.891625,0.5418750000000001
94,0.894725,0.5263749999999998
95,0.897825,0.5108750000000004
96,0.900925,0.4953750000000001
97,0.904025,0.47987499999999983
98,0.907125,0.4643750000000004
99,0.910225,0.44887500000000014
100,0.913325,0.43337499999999984
101,0.916425,0.41787499999999955
102,0.918325,0.4083750000000004
103,0.9198,0.4009999999999998
104,0.921275,0.3936250000000001
105,0.92275,0.3862500000000004
